2MASS J1645-4521       ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.30;      ;       ;                                                       ;
Ara OB1 A              ;Ara  ;16 42 13.0 -47 34 32 ;Op   ;OB   ;  315.00;  1590;       ;Ara-Nor                                                ;Incl NGC 6167, 6169, 6193, Mu Nor
Ara OB1 A-Nucleus      ;Ara  ;16 39 06.0 -48 57 00 ;Op   ;OB   ;  100.00;  1590;       ;                                                       ;Incl NGC 6193, 6188, in Ara OB1 A
Ara OB1 B              ;Ara  ;16 43 23.0 -47 20 59 ;Op   ;OB   ;  360.00;  2510;       ;                                                       ;In backg. of Ara OB1, inc. WR 77?, dist from Humphreys, 1978
Ara R1                 ;Ara  ;16 49 06.0 -47 31 15 ;Op   ;OB   ;  265.00;  1050;       ;                                                       ;Related to NGC 6193, RCW 108
Arches Cl              ;Sgr  ;17 45 50.0 -28 49 22 ;IR   ;OC   ;    0.50;  8230;   6.40;NHS93 17, G0.121+0.017 Cl, BDB 1                       ;
Aur OB1                ;Aur  ;05 30 00.0 +34 02 00 ;Op   ;OB   ;   90.00;  1360;       ;                                                       ;Very large multicenter association
Aur OB2                ;Aur  ;05 28 02.0 +34 38 40 ;Op   ;OB   ;   48.00;  2680;       ;                                                       ;Multicenter association
Azatyan-Nikoghosyan 14 ;Vul  ;19 39 34.8 +23 59 51 ;IR   ;OC   ;    1.30;  4300;       ;IRAS 19374+2352, ANK 14, Mol 109 Cl, Camargo 542       ;Also d=2160
Azatyan-Nikoghosyan 15 ;Aql  ;19 11 38.1 +08 46 35 ;IR   ;EC   ;    0.90;  4500;       ;IRAS 19092+0841, G3CC 63                               ;
Azatyan-Nikoghosyan 3  ;Ser  ;18 17 58.2 -12 07 30 ;IR   ;EC   ;    0.70;  3000;       ;IRAS 18151-1208, VVVX CL 96                            ;Very compact cluster. Associated with HI shell GSH018+02+27.
Azatyan-Nikoghosyan 4  ;Sct  ;18 34 21.3 -05 59 44 ;IR   ;EC   ;    1.10;  3200;       ;IRAS 18316-0602                                        ;The cluster is located in the dark nebulae DOBASHI 1007. It is associated with HI region RAFGL 7009S.
Azatyan-Nikoghosyan 5  ;Aql  ;18 53 18.4 +01 24 47 ;IR   ;EC   ;    1.90;  3900;       ;IRAS 18507+0121, G3CC 61                               ;This cluster is located in the UC HII region G34.4+0.23
Azatyan-Nikoghosyan 6  ;Aql  ;19 13 22.1 +10 50 53 ;IR   ;EC   ;    0.80;  7150;       ;IRAS 19110+1045, VOG 1                                 ;This cluster is located in a molecular cloud MKJ09 43 and associated with UC HII region G45.07+0.13
Azatyan-Nikoghosyan 7  ;Sge  ;19 23 37.3 +17 29 01 ;IR   ;OC   ;    0.50;  4300;       ;IRAS 19213+1723, Mol 103 Cl                            ;This compact cluster is associated with UC HII G052.098+1.042.
Azatyan-Nikoghosyan 9  ;Cyg  ;20 07 31.5 +33 59 39 ;IR   ;OC   ;    2.40;  1700;       ;IRAS 20056+3350, ANK 9, SUH 61                         ;This cluster has already been included in the list of alleged stellar clusters identified by a Gaussian filter of UKIDSS GPS survey data (G071.312+00.827, Solin et al, 2012)
BBD 9                  ;Gem  ;06 24 55.0 +19 59 59 ;Op   ;OC   ;    1.40;  3800;       ;                                                       ;In IRAS 06219+2001
BDB 108                ;Cas  ;02 26 34.1 +61 59 17 ;IR   ;OC   ;   22.80;  1835;   7.50;SAI 19, Mamajek 16, W3(OH) Cl, IRAS 02232+6138         ;Also d=2045
