PanSTARRS J1845-0200          ; Aql  ; 18 45 27.5 -02 00 37; Op    ; OC   ;     2.60;  2460;     ;      ;* ;                                                       ;
BSP 6                         ; Aql  ; 18 45 44.0 -02 32 12; IR    ; EC   ;     1.80;  7400;     ;      ;* ;Ryu 916                                                ;In HII reg HRDS G30.02+0.11, dist from Anderson+ 2012
BSP 3                         ; Aql  ; 18 45 44.6 -01 29 14; IR    ; SFR  ;     4.90; 12900;     ;      ;* ;                                                       ;Inside the shell of HII reg. WAM G30.96+0.59
Spitzer J1845-0230            ; Aql  ; 18 45 51.7 -02 30 16; IR    ; EC   ;     1.00;  5820;     ;      ;* ;                                                       ;In HII reg WISE G30.06+0.09, dist from Traficante+ 2015
PanSTARRS J1845-0235          ; Aql  ; 18 45 54.0 -02 35 54; Op    ; OC?  ;     2.30;  2850;     ;      ;* ;                                                       ;Dist from GDR2 mean
FSR 87                        ; Aql  ; 18 46 00.0 -03 37 15; IR    ; OC   ;    10.00;  2890;1.562; 8.250;* ;                                                       ;
SUH 18                        ; Aql  ; 18 46 02.3 -02 45 43; IR    ; EC   ;     1.90;  6300;     ;      ;* ;                                                       ;In HII reg WISE G29.86-0.05, dist from Anderson+ 2014
BDSB 125                      ; Aql  ; 18 46 04.0 -02 39 19; IR    ; EC   ;     1.00;  9100;2.080; 6.000;* ;                                                       ;In HII reg WISE G29.95-0.02, dist from Anderson+ 2014
BSP 5                         ; Aql  ; 18 46 05.9 -02 41 13; IR    ; SFR  ;    15.80;  5950;     ;      ;* ;RM 14, Ryu 913                                         ;Sev HII regs nearby, poss more than one cl, dist from Anderson+ 2014
Spitzer J1846-0245            ; Aql  ; 18 46 11.0 -02 45 14; IR    ; OC   ;     1.60;  4900;     ;      ;* ;                                                       ;Dist from GDR2 mean
Ryu 915                       ; Aql  ; 18 46 16.2 -02 36 34; IR    ; EC   ;     1.30;  8900;     ;      ;* ;IRAS 18436-0239                                        ;In HII reg HRDS G30.02-0.04, dist from Anderson+ 2012
BDSB 10                       ; Aql  ; 18 46 21.0 -03 47 42; Op    ; EC   ;     4.00;  4800;1.670; 7.600;* ;                                                       ;In HII reg Lockman G28.98-00.60
Ryu 921                       ; Aql  ; 18 46 24.3 -02 15 24; IR    ; EC   ;     1.00;  5200;     ;      ;* ;IRAS 18437-0218                                        ;In HII reg WISE G30.34+0.09, dist from Urquhart+ 2018
Urq G30.22+0.27               ; Aql  ; 18 46 24.5 -02 24 00; Op    ; YAs  ;   120.00;   662;     ;      ;* ;                                                       ;Contains BSP 12
LMR 67                        ; Aql  ; 18 46 36.7 -03 43 46; IR    ; SFR  ;     8.00; 11500;     ;      ;* ;                                                       ;
UCEC 6                        ; Aql  ; 18 46 37.0 -01 45 21; IR    ; EC   ;     0.70;  6600;     ;      ;* ;IRAS 18440-0148                                        ;In HII reg WISE G30.81+0.272
SFC 17                        ; Aql  ; 18 46 37.0 -01 59 25; IR    ; OB   ;    48.00;  6300;     ;      ;* ;RMM 17, RM 17, LMR 72, BSP 10, Russeil 62              ;D= 5.65, 6.3, 6.3, 8.2 Kpc
Mercer 11                     ; Aql  ; 18 46 41.0 -02 44 07; IR    ; EC   ;     2.30;  3830;     ;      ;* ;GLIMPSE 11                                             ;Dist avg of GDR2 stars in the area
Theia 12                      ; Aql  ; 18 46 48.5 -01 24 25; Op    ; OC   ;   641.00;   638;     ; 7.050;* ;                                                       ;
BSP 1                         ; Aql  ; 18 46 59.1 -02 06 26; IR    ; SFR  ;     8.40; 11600;     ;      ;* ;                                                       ;From Billot et al. (2011ApJ...735...28B)
RM 16                         ; Aql  ; 18 47 00.0 -02 07 06; IR    ; EC   ;     1.00; 11900;     ;      ;* ;LMR 70                                                 ;
LMR 68                        ; Aql  ; 18 47 01.9 -02 40 54; IR    ; SFR  ;    24.20;  8500;     ;      ;* ;                                                       ;
Ryu 919                       ; Aql  ; 18 47 03.3 -02 30 15; IR    ; EC   ;     3.00;  7300;     ;      ;* ;                                                       ;Three HII regions and poss 2 clusters in the area, dist from Anderson+ 2014
PanSTARRS J1847-0335          ; Aql  ; 18 47 06.6 -03 35 48; Op    ; OC?  ;     2.80;  2080;     ;      ;* ;                                                       ;
PanSTARRS J1847-0204          ; Aql  ; 18 47 09.5 -02 04 02; Op    ; OC?  ;     1.00;  3490;     ;      ;* ;                                                       ;Somewhat dubious
SUH 20                        ; Aql  ; 18 47 10.3 -02 19 13; IR    ; EC   ;     1.50;  6200;     ;      ;* ;IRAS 18445-0222, Mol 71                                ;In HII reg WISE G30.38-0.11, dst from Anderson+ 2014
Ryu 920                       ; Aql  ; 18 47 25.4 -02 24 52; IR    ; EC   ;     3.20;  7300;     ;      ;* ;BSP 7                                                  ;Three HII regions nearby, dist from Anderson+ 2014
W 43 Cl                       ; Aql  ; 18 47 36.0 -01 56 33; IR    ; EC   ;     2.70;  5700;     ;      ;* ;BDB 18, MDF 7                                          ;In W43, inc WR *
UCEC 5                        ; Aql  ; 18 47 39.0 -02 20 52; IR    ; EC   ;     0.30;  7300;     ;      ;* ;IRAS 18450-0224                                        ;In HII reg WISE G30.41-0.22
BSP 8                         ; Aql  ; 18 47 39.6 -02 19 55; IR    ; SFR  ;     6.10;  7960;     ;      ;* ;                                                       ;
Santa 192                     ; Aql  ; 18 47 41.0 -03 49 32; Op    ; OC   ;     4.00;  2300;     ;      ;* ;Prestgard 2                                            ;Appears just below Nova Aql 2010, Cl? next to Sh2-65, on a photo taken by Dean Salman (www.sharplesscatalog.com)
UPK 36                        ; Aql  ; 18 47 42.5 -02 22 02; Op    ; OC   ;     5.80;   624;     ;      ;* ;BDSB 125, W 43                                         ;
Froebrich 6                   ; Aql  ; 18 47 48.0 -01 42 00; IR    ; RSG  ;     6.00;  6000;     ; 7.200;* ;                                                       ;Diam from extr rad, cluster of RSGS
Mercer 12                     ; Aql  ; 18 47 49.0 -01 56 31; IR    ; EC   ;     1.60;  6470;     ;      ;* ;GLIMPSE 12                                             ;
BSP 9                         ; Aql  ; 18 48 01.4 -01 53 47; IR    ; SFR  ;     7.30;  7650;     ;      ;* ;                                                       ;
G3CC 60                       ; Aql  ; 18 48 02.1 -01 33 26; IR    ; EC   ;     1.10; 11420;     ;      ;* ;                                                       ;In HII reg WISE G31.15+0.04
BSP 2                         ; Aql  ; 18 48 04.4 -01 56 07; IR    ; SFR  ;     6.60; 11200;     ;      ;* ;                                                       ;
