Name                   ;Cns  ;RA          De       ;Wv   ;Type ;   Diam ;  Dist;    Age;Aliases                                                ;Notes
Camargo 785            ;Cas  ;03 15 26.0 +60 53 21 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;In dust cirrus
Camargo 787            ;Cas  ;03 15 59.0 +60 28 31 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;Small dusty core
Bica 185               ;Cas  ;22 58 10.0 +58 43 16 ;IR   ;OC   ;    1.00;      ;       ;Bica 186                                               ;
Bica 179               ;Cas  ;22 58 31.0 +58 45 58 ;IR   ;OC   ;    0.30;      ;       ;                                                       ;
Bica 187               ;Cas  ;22 58 34.0 +58 42 43 ;IR   ;OC   ;    0.50;      ;       ;                                                       ;Very close pair with Alessi J2258+5843
Alessi J2258+5843      ;Cas  ;22 58 34.9 +58 43 06 ;Op   ;OC?  ;    0.35;      ;       ;                                                       ;Very close pair with Bica 187
Bica 195               ;Cas  ;22 58 37.0 +58 55 58 ;IR   ;OC   ;    1.50;      ;       ;                                                       ;Related to Planck Cold Clump
BDSB 36                ;Cas  ;22 58 41.0 +58 46 57 ;IR   ;OC?  ;    2.40;      ;       ;                                                       ;Pair w Bica 193
Bica 188               ;Cas  ;22 58 42.0 +58 45 34 ;IR   ;OC   ;    0.70;      ;       ;                                                       ;
Bica 193               ;Cas  ;22 58 44.0 +58 47 47 ;IR   ;OC   ;    3.00;      ;       ;                                                       ;In Sh2-152
Bica 189               ;Cas  ;22 58 47.0 +58 45 00 ;IR   ;OC   ;    1.00;      ;       ;                                                       ;
Bica 190               ;Cas  ;22 58 47.0 +58 46 13 ;IR   ;OC   ;    0.60;      ;       ;                                                       ;
BDSB 37                ;Cas  ;22 59 06.0 +59 28 05 ;IR   ;OC   ;    6.60;  2275;   8.60;IRAS 22570+5912, KKC 46                                ;Also d=5100
Bica 197               ;Cas  ;22 59 43.0 +58 59 56 ;IR   ;OC   ;    0.90;      ;       ;                                                       ;Related to Planck Cold Clump
RSG 8                  ;Cas  ;22 59 55.9 +59 22 16 ;Op   ;OC   ;  121.80;   447;   8.50;1 Cas Grp                                              ;Suggested as OCR by van Albada (1968)
Saloranta 21           ;Cas  ;23 00 40.0 +56 20 02 ;Op   ;OC?  ;    2.50;      ;       ;                                                       ;
Santa 206              ;Cas  ;23 00 53.0 +53 23 27 ;Op   ;OC?  ;    4.00;      ;       ;                                                       ;Very good cluster of stars, clusterlike, 30 stars 11...15 in a relatively dense group., traces of reflection nebula around brightest star (TYC 3985 1156)
Crisp J2302+5703       ;Cas  ;23 02 08.0 +57 03 18 ;Op   ;OC?  ;    4.50;      ;       ;DSH J2302+5703                                         ;
Cep OB1                ;Cas  ;23 02 10.2 +57 04 18 ;Op   ;OB   ;  660.00;  2210;       ;Ass-28                                                 ;Large multicenter association
FSR 426                ;Cas  ;23 15 32.0 +61 06 51 ;Op   ;OC?  ;    1.10;      ;       ;                                                       ;
