Name                  ;Const;Coordinates (J2000.0);Wave ;Type ;Dia_arcm;Dst_pc;E(B-V);Log_t  ;Aliases                                                                                                    ;Comments
Button Hook           ;Sct  ;18 43 00.0 -06 50 00 ;Op   ;***  ;   75.00;      ;      ;       ;                                                                                                           ;
CAG16 grp 1           ;Cyg  ;20 19 57.0 +38 30 00 ;Op   ;pOB  ;  380.00;   972;      ;       ;                                                                                                           ;arXiv:1611.04398v1
CAG16 grp 2           ;Cyg  ;20 16 24.0 +37 39 04 ;Op   ;pOB  ;  310.00;  1732;      ;       ;                                                                                                           ;arXiv:1611.04398v1
CAG16 grp 3           ;Cyg  ;20 16 30.0 +37 39 48 ;Op   ;pOB  ;  380.00;      ;      ;       ;                                                                                                           ;arXiv:1611.04398v1
CAH 10                ;Ori  ;06 12 56.0 +18 02 44 ;IR   ;OC   ;    1.00;      ;      ;       ;                                                                                                           ;in G192.55-0.01
CBB 10                ;Per  ;04 05 58.0 +51 06 07 ;IR   ;OC   ;    6.00;  7200;      ;   6.30;                                                                                                           ;
CBB 11                ;Per  ;04 40 27.0 +50 28 30 ;IR   ;OC   ;    2.00;  6000;      ;   6.30;                                                                                                           ;
CBB 13                ;Gem  ;06 27 39.0 +12 32 39 ;IR   ;***  ;    6.00;      ;      ;   7.30;                                                                                                           ;
CBB 16                ;CMa  ;07 18 34.0 -13 12 42 ;IR   ;***  ;    6.00;      ;      ;       ;                                                                                                           ;
CBB 19                ;Ori  ;06 12 21.0 +18 05 17 ;IR   ;OC?  ;    7.00;      ;      ;       ;                                                                                                           ;
CBB 4                 ;Aur  ;05 28 29.0 +34 19 50 ;IR   ;OC   ;    5.00;  2700;      ;   6.30;                                                                                                           ;
CBB 5                 ;Aur  ;05 28 34.0 +34 28 37 ;IR   ;OC   ;    4.00;  2700;      ;   6.30;                                                                                                           ;
CBB 9                 ;Aur  ;05 25 55.0 +34 50 54 ;IR   ;OC   ;    6.00;  2600;      ;   6.30;                                                                                                           ;
CCCP A                ;Car  ;10 44 30.0 -59 28 00 ;IR   ;OC?  ;    9.00;      ;      ;       ;                                                                                                           ;in shell, inc CCL 1, 5, 7, 8
CCCP B                ;Car  ;10 45 05.0 -59 46 00 ;IR   ;OC   ;    7.00;      ;      ;       ;                                                                                                           ;inc. CCL l, 3, 4, 6, 9 to 12, 14
