Name; RA_J2000_deg; De_J2000_deg; Type; Rad_deg; Dst_pc; E_B-V; Log_t; pmRA_mas; pmDe_mas; Reference; Aliases_and_associated_objects
FSR_312; 323.850416667; +50.9344444444; OC; 0.1550000000; 2842; 0.89; 8.66; -2.85; -3.00; Hunt 2021; 
FSR_322; 328.009166667; +50.9547222222; OC; 0.1650000000; 1673; 0.45; 9.25; -1.48; -1.20; Hunt 2021; 
FSR_333; 327.241250000; +54.8022222222; OC; 0.0900000000; 4071; 1.10; 8.89; -3.66; -3.78; Hunt 2021; 
FSR_35; 271.286250000; -20.0819444444; OC; 0.2383333333; 2931; 1.21; 6.60; -0.35; -1.93; Hunt 2021; 
FSR_360; 333.232500000; +58.9886111111; EC; 0.0333333333; 1960; ; ; -3.80; -3.06; Alessi GEDR3; Sh2-134, LBN_490
FSR_435; 352.420833333; +59.8783333333; OC; 0.4958333333; 1219; 0.53; 8.35; -2.77; -2.90; Hunt 2021; 
FSR_511; 11.2416666670; +55.7883333333; EC; 0.0191666667; 2450; ; ; -3.37; -1.79; Alessi GEDR3; KKC_2, Mol_3
FSR_546; 24.1212500000; +66.0380555556; OC; 0.1250000000; 3658; 1.10; 9.00; -1.50; 0.30; Hunt 2021; 
FSR_59; 276.799166667; -12.1305555556; OC; 0.1925000000; 3108; 1.08; 8.40; -0.74; -2.68; Hunt 2021; NGC_6631
FSR_604; 44.7083333330; +63.5808333333; OC; 0.0583333333; 5100; ; ; -1.02; 0.40; Alessi GEDR3; 
FSR_613; 43.5150000000; +60.6600000000; OC; 0.0433333333; 2040; ; 8.74; -0.09; -0.24; Alessi GEDR3; SAI_23, SAI_27, Loktin-Popova_10
FSR_654; 58.9000000000; +54.0169444444; OC; 0.0700000000; 4740; ; ; 0.45; -0.95; Alessi GEDR3; 
FSR_663; 61.3237500000; +51.5686111111; OC; 0.1441666667; 3251; 0.90; 8.91; -0.37; -1.19; Hunt 2021; FSR_665
FSR_700; 62.5562500000; +39.5386111111; OC; 0.1975000000; 1456; 0.94; 9.15; 0.54; -2.88; Hunt 2021; 
FSR_72; 279.083333333; -6.7794444444; OC; 0.1233333333; 2764; 1.21; 8.70; -0.22; -2.25; Hunt 2021; 
FSR_734; 75.6133333330; +42.8427777778; OC; 0.5725000000; 1222; 0.14; 7.92; -0.07; -2.66; Hunt 2021; 
FSR_784; 85.1916666670; +35.9183333333; EC; 0.0500000000; 1473; 1.04; 6.62; 0.62; -3.05; Alessi GDR2; Koposov_7,Sh2-235_North-West
FSR_799; 86.0445833330; +33.6775000000; OC; 0.2116666667; 1431; 0.42; 9.10; -1.10; -5.02; Hunt 2021; 
FSR_849; 87.6487500000; +25.9822222222; OC; 0.4950000000; 1152; 0.52; 8.63; -0.36; -2.61; Hunt 2021; Koposov_58
FSR_878; 100.779166667; +27.1500000000; OC; 0.1000000000; 3370; ; 9.20; -0.46; -1.31; Alessi GEDR3; 
FSR_880; 95.7291666670; +24.4494444444; OC; 0.0941666667; 4002; 0.42; 9.00; 0.13; -1.49; Hunt 2021; 
FSR_89; 281.908750000; -3.8350000000; OC; 0.0700000000; 2241; 1.85; 8.30; -0.69; -1.91; Hunt 2021; Prestgard_2, Santa_192, UBC_355
FSR_924; 92.6079166670; +16.8330555556; OC; 0.1100000000; 1710; ; 8.87; 0.49; 0.29; Alessi GEDR3; 
FSR_946; 92.7416666670; +14.1583333333; EC; 0.0416666667; 1470; ; 6.00; -2.13; -1.46; Alessi GEDR3; Majaess_76, IRAS_06080+1410
Feinstein_1; 166.480833333; -59.8122222222; OC; 0.3333333333; 2370; 0.40; 7.00; -6.63; 1.80; Alessi GEDR3; FoF_1494, FoF_1506, UBC_266, UBC_658
Ferrero_17; 77.1875000000; +17.9900000000; OC; 0.0333333333; 3876; ; ; 0.96; -0.64; Alessi GDR2; 
Ferrero_18; 93.8541666670; +25.5000000000; OC; 0.1416666667; 2340; ; ; 0.69; -2.92; Alessi GEDR3; 
Ferrero_30; 67.2541666670; +57.8333333333; OC; 0.0141666667; 4740; ; ; 0.39; -0.19; Alessi GEDR3; 
FoF_1010; 157.140000000; -59.0869444444; OC; 0.2683333333; 4560; ; 8.74; -5.47; 2.81; Alessi GEDR3; 
FoF_1025; 156.480416667; -58.9991666667; OC; 0.1783333333; 4120; ; 8.84; -5.60; 2.91; Alessi GEDR3; 
FoF_1071; 171.200000000; -61.5333333333; OC; 0.1250000000; 2730; ; 9.67; -6.34; 1.61; Alessi GEDR3; 
FoF_1119; 178.800000000; -61.6666666667; OC; 0.1500000000; 2950; ; 8.74; -6.18; 0.72; Alessi GEDR3; 
FoF_1145; 200.210833333; -62.8500000000; OC; 0.1250000000; 3550; ; 6.60; -6.19; -1.37; Alessi GEDR3; 
FoF_1177; 228.600000000; -59.6500000000; OC; 0.1291666667; 3000; ; 8.27; -4.19; -3.45; Alessi GEDR3; 
FoF_1188; 258.197500000; -40.0016666667; OC; 0.1358333333; 3470; ; 8.40; -0.77; -2.30; Alessi GEDR3; 
FoF_1230; 281.835416667; -4.7102777778; OC; 0.1366666667; 3250; ; 7.92; -1.12; -2.55; Alessi GEDR3; 
FoF_1263; 294.750000000; +20.1000000000; OC; 0.1500000000; 3580; ; 8.72; -2.58; -6.13; Alessi EDR3; 
FoF_1302; 301.239166667; +31.6486111111; OC; 0.2208333333; 2985; ; 7.42; -1.83; -4.77; Alessi GEDR3; 
FoF_1316; 0.99541666700; +62.5291666667; OC; 0.0666666667; 2778; ; ; -2.10; -0.90; Casado 2020; Casado_16
FoF_1339; 23.5833333330; +61.5333333333; OC; 0.4500000000; 2650; ; 6.60; -1.57; -0.58; Alessi GEDR3; FoF_1343
FoF_1348; 30.6920833330; +60.9175000000; OC; 0.4716666667; 2849; ; 8.71; -1.07; -0.23; Alessi GEDR3; 
FoF_1354; 39.8508333330; +59.4733333333; OC; 0.3833333333; 2340; ; 8.73; -0.75; -0.15; Alessi GEDR3; 
FoF_1382; 96.8316666670; +16.6411111111; OC; 0.2908333333; 3890; ; 6.78; 0.02; -0.37; Alessi GEDR3; 
FoF_1632; 272.947916667; -18.4638888889; OC; 0.1400000000; 2541; ; 8.29; 0.14; -1.76; Alessi GEDR3; 
FoF_1644; 280.107500000; -5.7316666667; OC; 0.1766666667; 3290; ; 9.22; -1.16; -3.19; Alessi GEDR3; Iss_616
FoF_1645; 280.127500000; -5.6422222222; OC; 0.2241666667; 2755; ; 9.23; -0.93; -1.43; Alessi GEDR3; 
FoF_1650; 279.983750000; -4.4772222222; OC; 0.1800000000; 2590; ; 7.83; -0.54; -2.44; Alessi GEDR3; 
FoF_1661; 279.920416667; -4.0080555556; OC; 0.2258333333; 2360; ; 8.67; -0.56; -2.16; Alessi GEDR3; FoF_1653
FoF_1663; 280.557916667; -4.5016666667; OC; 0.2100000000; 2890; ; 9.22; -1.21; -3.61; Alessi GEDR3; 
FoF_1726; 299.717083333; +30.7944444444; OC; 0.1666666667; 4570; ; 7.94; -3.61; -6.03; Alessi GEDR3; 
FoF_1733; 300.811250000; +31.9375000000; OC; 0.1908333333; 4167; ; 8.36; -2.70; -4.96; Alessi GEDR3; 
FoF_1795; 337.080833333; +58.4547222222; OC:; 0.4716666667; 3937; ; 8.82; -3.32; -2.36; Liu 2019; 
FoF_1805; 334.305000000; +57.3000000000; OC; 0.1250000000; 3010; ; 8.63; -3.21; -3.42; Alessi GEDR3; 
FoF_1820; 351.068333333; +60.8494444444; OC; 0.2500000000; 2910; ; 7.46; -3.11; -1.53; Alessi GEDR3; 
FoF_1832; 359.386666667; +63.7683333333; OC; 0.3950000000; 3770; ; 8.84; -1.95; -0.66; Alessi GEDR3; 
FoF_1845; 356.113333333; +62.7111111111; OC; 0.3333333333; 2530; ; 6.60; -3.76; -1.88; Alessi GEDR3; 
FoF_1875; 28.4058333330; +62.8236111111; OC; 0.4400000000; 2820; ; 8.71; -1.02; -0.23; Alessi GEDR3; 
FoF_1880; 27.6491666670; +63.2544444444; OC; 0.4500000000; 2770; ; 8.82; -1.09; -0.12; Alessi GEDR3; 
FoF_1904; 16.5858333330; +63.3394444444; OC; 0.4766666667; 2680; ; 7.80; -2.27; -0.45; Alessi GEDR3; FoF_1889, FoF_1914
FoF_1921_A; 15.4816666670; +63.1986111111; OC; 0.2000000000; 2690; ; 6.60; -2.45; -0.49; Alessi GEDR3; 
FoF_1921_B; 15.4816666670; +63.1986111111; OC; 0.2000000000; 3510; ; 6.60; -1.47; -0.21; Alessi GEDR3; 
