name                       RA_ICRS            DE_ICRS         Diam    
BH_19                     121.76800000   -32.3550000          3.0    
BH_197                    251.62500000   -45.8500000          7.2    
BH_200                    252.48400000   -44.1820000          6.5    
BH_202                    253.77900000   -40.9470000          7.7    
BH_203                      253.870833    -40.829444          2.5    
BH_205                    254.05300000   -40.6360000         11.6    
BH_211                    255.53500000   -41.1130000          9.8    
BH_217                    259.07100000   -40.8150000          4.7    
BH_221                    259.64100000   -32.3340000         18.2    
BH_222                    259.69400000   -38.2890000          2.4    
BH_223                    260.17000000   -35.8830000          5.4    
BH_227                    261.39204200   -34.4137500         10.0    
BH_23                     123.44900000   -36.3290000         44.6    
BH_231                    262.94748750   -31.9147260         11.8    
BH_245                    266.56100000   -29.7000000          1.9    
BH_37                     128.94600000   -43.6100000          4.1    
BH_4                      114.43750000   -36.0633330          2.3    
BH_54                     132.41300000   -44.3530000          5.8    
BH_55                     134.04200000   -39.5180000          5.8    
BH_56                     134.35500000   -43.1810000         25.8    
BH_58                     137.55000000   -56.2620000          4.2    
BH_63                     140.16300000   -49.2170000          7.2    
BH_66                     141.31400000   -54.7190000          2.8    
BH_67                     141.68700000   -51.2730000          3.0    
BH_72                     142.83800000   -53.0400000          2.8    
BH_73                     142.98100000   -50.2250000          1.7    
BH_75                     143.67900000   -54.7000000          9.0    
BH_78                     145.95200000   -56.5740000          1.6    
BH_84                     150.33100000   -58.2180000          2.9    
BH_85                     150.46900000   -49.5640000          3.7    
BH_87                     151.14800000   -55.3860000          7.9    
BH_88                     151.56700000   -51.5950000          8.0    
BH_90                     153.06400000   -58.0690000          5.2    
BH_91                     154.24500000   -58.6950000         18.0    
BH_92                     154.77900000   -56.4250000          2.4    
BH_99                     159.55300000   -59.1680000         64.4    
BMP_1                      79.89000000   +39.5319440          5.0    
BSP_12                    282.06666700    -2.3341670          3.1    
Barkhatova_1              313.39800000   +46.0370000          8.6    
Barkhatova_2              325.91700000   +51.0700000          5.4    
Barnard_217                66.80500000   +25.9650000         12.0    
Barnard_30                 82.98700000   +12.4100000         15.6    
Barnard_59                257.82500000   -27.3667000         13.1    
Basel_10                   34.87800000   +58.3040000          3.8    
Basel_11A                 109.29600000   -13.9880000          9.4    
Basel_11B                  89.54700000   +21.9650000          7.8    
Basel_12                  317.61000000   +46.2350000          7.2    
Basel_14                  320.25700000   +44.8250000          8.4    
Basel_15                  318.97800000   +48.8530000          7.2    
Basel_17                  167.65000000   -59.0470000         10.9    
Basel_18                  201.96700000   -62.3060000          7.2    
Basel_20                  142.74700000   -56.4300000          9.6    
Basel_4                    87.24200000   +30.1900000          4.0    
Basel_5                   268.12500000   -30.1050000         14.4    
Basel_7                    99.07500000    +8.3300000          5.4    
Basel_8                    98.55000000    +8.0050000         37.1    
Berkeley_1                  2.44900000   +60.4760000          4.3    
Berkeley_10                54.89400000   +66.4860000          9.8    
Berkeley_100              351.48500000   +63.7810000          2.6    
Berkeley_101              353.21300000   +64.2090000          2.9    
Berkeley_102              354.66000000   +56.6370000          5.9    
Berkeley_103              356.30300000   +59.2970000          2.6    
Berkeley_104                0.86500000   +63.5870000          4.6    
Berkeley_11                65.12600000   +44.9220000          4.6    
Berkeley_12                71.10000000   +42.6910000          4.3    
Berkeley_13                73.94300000   +52.8090000          7.8    
Berkeley_14                74.93500000   +43.4880000          6.1    
Berkeley_14A               75.27800000   +43.4290000         51.1    
Berkeley_15                75.52000000   +44.5060000          7.2    
Berkeley_17                80.13000000   +30.5740000          8.5    
Berkeley_18                80.53100000   +45.4420000         14.0    
Berkeley_19                81.01400000   +29.5750000          4.4    
Berkeley_2                  6.31900000   +60.3920000          3.2    
Berkeley_20                83.15200000    +0.1850000          1.8    
Berkeley_21                87.93000000   +21.8120000          3.7    
Berkeley_22                89.61800000    +7.7630000          2.6    
Berkeley_23                98.31800000   +20.5350000          4.6    
Berkeley_24                99.45200000    -0.8740000          6.1    
Berkeley_25               100.31700000   -16.4870000          2.3    
Berkeley_26               102.56000000    +5.7300000          7.6    
Berkeley_27               102.83700000    +5.7720000          2.4    
Berkeley_28               103.02800000    +2.9220000          2.5    
Berkeley_29               103.26800000   +16.9300000          1.7    
Berkeley_30               104.43800000    +3.2290000          2.9    
Berkeley_31               104.40600000    +8.2850000          3.7    
Berkeley_32               104.53000000    +6.4330000          7.6    
Berkeley_33               104.45600000   -13.2270000          3.8    
Berkeley_34               105.09700000    -0.2390000          2.9    
Berkeley_35               107.49100000    +2.7340000          4.7    
Berkeley_36               109.10500000   -13.1960000          5.5    
Berkeley_37               110.07500000    -1.0020000          4.8    
Berkeley_39               116.70200000    -4.6650000          6.6    
Berkeley_4                 11.29100000   +64.3910000          4.0    
Berkeley_43               288.87200000   +11.2650000          5.8    
Berkeley_44               289.31300000   +19.5500000          6.0    
Berkeley_45               289.77800000   +15.7160000          2.3    
Berkeley_47               292.12700000   +17.3620000          3.5    
Berkeley_49               299.87200000   +34.6430000          2.3    
Berkeley_5                 26.92800000   +62.9350000          2.3    
Berkeley_51               302.97200000   +34.4020000          2.4    
Berkeley_52               303.62100000   +28.9470000          3.4    
Berkeley_53               313.97500000   +51.0600000         10.7    
Berkeley_54               315.74500000   +40.4330000          4.0    
Berkeley_55               319.23200000   +51.7620000          3.7    
Berkeley_56               319.39100000   +41.8350000          4.9    
Berkeley_58                 0.06300000   +60.9370000          7.2    
Berkeley_59                 0.57000000   +67.4410000         16.4    
Berkeley_6                 27.80300000   +61.0610000          5.3    
Berkeley_60                 4.44000000   +60.9360000          4.8    
Berkeley_61                12.04000000   +67.1990000          2.9    
Berkeley_62                15.30900000   +63.9180000          9.7    
Berkeley_63                34.85800000   +63.7180000          4.9    
Berkeley_64                35.41500000   +65.8900000          7.2    
Berkeley_65                39.76800000   +60.4030000          3.0    
Berkeley_66                46.03000000   +58.7310000          6.5    
Berkeley_67                69.47200000   +50.7550000          9.8    
Berkeley_68                71.05300000   +42.1340000         12.0    
Berkeley_69                81.09000000   +32.6070000          4.6    
Berkeley_7                 28.54600000   +62.3660000          5.4    
Berkeley_70                81.45700000   +41.9510000          7.3    
Berkeley_71                85.23300000   +32.2720000          4.3    
Berkeley_72                87.55900000   +22.2470000          4.8    
Berkeley_73                95.52000000    -6.3210000          1.9    
Berkeley_75               102.25200000   -23.9990000          3.8    
Berkeley_76               106.67200000   -11.7350000          6.2    
Berkeley_77               110.36200000    -3.2340000          3.4    
Berkeley_78               110.91300000    +5.3700000          4.6    
Berkeley_79               281.25000000    -1.1460000          5.5    
Berkeley_8                 30.30600000   +75.4890000          9.2    
Berkeley_80               283.59100000    -1.2140000          4.4    
Berkeley_81               285.41900000    -0.4540000          5.3    
Berkeley_82               287.84500000   +13.1110000          2.6    
Berkeley_83               300.35600000   +28.6450000          1.6    
Berkeley_84               301.17000000   +33.9060000          6.0    
Berkeley_85               304.69200000   +37.7440000          6.8    
Berkeley_86               305.08400000   +38.6880000          8.4    
Berkeley_87               305.39600000   +37.4330000         11.2    
Berkeley_88               305.33200000   +48.1400000          6.6    
Berkeley_89               306.11400000   +46.0480000          5.0    
Berkeley_9                 53.16700000   +52.6490000          6.4    
Berkeley_90               308.81900000   +46.8430000          6.6    
Berkeley_91               317.71100000   +48.5430000          2.8    
Berkeley_92               321.20600000   +57.5280000          2.6    
Berkeley_93               328.95000000   +63.9450000         10.2    
Berkeley_94               335.71100000   +55.8620000          4.4    
Berkeley_95               337.08200000   +59.1290000          4.9    
Berkeley_96               337.47800000   +55.4080000          3.0    
Berkeley_97               339.85300000   +59.0050000          4.2    
Berkeley_98               340.66500000   +52.4070000          7.4    
Berkeley_99               350.26000000   +71.7780000          6.0    
Bica_1                    308.29245780   +41.2182970          3.2    
Bica_148                  309.76666670   +42.4236111          2.0    
Bica_161                  317.29583330   +50.0169444          3.5    
Bica_2                    308.31284630   +41.3106857          5.0    
Bica_244                   51.45041700   +30.9416670         19.0    
Bica_245                   51.29416700   +30.8097220         13.0    
