Name                Cns RA           Dec         Type    Diam   Dist  E(B-V) Age     pmRA    pmDe  BibCode            
FoF 1137            Cen  13 24 22.5 -64 03 06    OC?     15.5   3425         9.36   -6.90   -1.34  Liu 2019           
FoF 1151            Cen  13 25 42.1 -63 54 53    OC?     11.9   3745         9.03   -5.79   -1.00  Liu 2019           
FoF 258             Cen  13 26 56.8 -63 18 05    OC?     13.9   4608         9.22   -6.69   -1.33  Liu 2019           
FoF 1161            Cen  13 27 02.1 -63 04 55    OC?     16.2   3984         9.59   -6.81   -1.48  Liu 2019           
FoF 260             Cen  13 27 19.9 -63 05 54    OC?     12.7   4484         8.06   -6.43   -1.42  Liu 2019           
FoF 2097            Cen  13 27 56.7 -63 46 35    OC?     19.4   2237         8.83   -6.95   -1.37  Liu 2019           
FoF 1167            Cen  13 28 07.8 -63 26 21    OC?     10.2   4405         8.95   -6.18   -1.33  Liu 2019           
FoF 1160            Cen  13 28 23.6 -63 28 57    OC?     13.2   3484         6.60   -6.82   -1.35  Liu 2019           
FoF 1166            Cen  13 29 04.8 -63 15 18    spur    11.4   4219         8.11   -7.02   -1.40  Liu 2019           
FoF 849             Cen  13 29 26.0 -64 09 43    OC?     14.2   3922         8.13   -6.49   -1.31  Liu 2019           
FoF 1164            Cen  13 29 33.8 -63 10 45    OC?      9.2   4115         9.22   -6.90   -1.47  Liu 2019           
FoF 855             Cen  13 29 37.0 -63 50 55    OC?     14.6   3390         8.95   -6.56   -1.45  Liu 2019           
FoF 858             Cen  13 30 35.8 -64 08 16    OC?     12.6   3534         6.60   -6.49   -1.51  Liu 2019           
FoF 259             Cen  13 30 55.7 -63 31 38    OC?     13.6   4167         6.60   -6.71   -1.35  Liu 2019           
FoF 1162            Cen  13 31 01.5 -64 06 26    OC?     12.1   4000         8.08   -6.12   -1.29  Liu 2019           
FoF 1165            Cen  13 31 04.2 -63 45 12    OC?     10.3   4016         8.06   -6.46   -1.48  Liu 2019           
FoF 853             Cen  13 32 34.4 -64 06 03    OC?     14.0   3731         7.87   -6.71   -1.34  Liu 2019           
FoF 857             Cen  13 32 42.1 -64 22 56    OC?     14.2   4274         6.60   -6.15   -1.34  Liu 2019           
FoF 852             Cen  13 33 03.1 -63 49 08    OC?     16.9   4049         7.88   -6.25   -1.75  Liu 2019           
FoF 1163            Cen  13 34 11.5 -64 02 14    OC?     16.2   3861         8.71   -6.24   -1.40  Liu 2019           
FoF 851             Cen  13 35 01.7 -63 44 31    OC?     17.0   4049         8.30   -6.62   -1.60  Liu 2019           
FoF 1169            Cen  13 36 10.6 -64 09 56    OC?     12.8   3676         8.94   -6.11   -1.56  Liu 2019           
FoF 1171            Cen  14 39 25.6 -61 50 44    OC?     13.4   4065         7.62   -5.44   -2.98  Liu 2019           
FoF 1808            Cep  22 10 02.3 +55 49 12    OC?     17.4   3650         9.22   -3.09   -2.70  Liu 2019           
FoF 1723            Cyg  19 44 33.1 +27 48 45    OC?     16.3   4032         8.95   -2.73   -5.75  Liu 2019           
FoF 1743            Cyg  19 53 41.4 +31 38 18    OC?     14.0   4219         8.69   -2.53   -4.80  Liu 2019           
FoF 1727            Cyg  19 58 30.8 +30 16 45    OC?     19.0   3559         9.22   -2.59   -4.84  Liu 2019           
FoF 1737            Cyg  19 58 44.7 +33 22 10    OC?     16.2   3984         9.54   -2.64   -5.05  Liu 2019           
FoF 1744            Cyg  19 58 49.6 +30 36 44    OC?     14.6   3546         9.01   -2.78   -5.24  Liu 2019           
FoF 1755            Cyg  20 03 02.9 +33 51 50    OC?     13.6   3922        10.03   -2.56   -4.82  Liu 2019           
FoF 1740            Cyg  20 03 39.3 +32 06 43    OC?     14.6   4098        10.02   -2.61   -5.04  Liu 2019           
FoF 2180            Cyg  20 17 16.6 +37 15 44    OC?     29.0   2141         6.70   -2.74   -5.35  Liu 2019           
FoF 1766            Cyg  20 18 01.8 +38 41 39    OC?     14.5   3279         6.60   -3.11   -5.05  Liu 2019           
FoF 1765            Cyg  20 19 12.5 +39 08 08    OC?     16.3   3788         8.51   -2.91   -4.81  Liu 2019           
FoF 1767            Cyg  20 19 22.7 +39 22 45    OC?     15.4   2463         8.60   -3.16   -5.01  Liu 2019           
FoF 1772            Cyg  20 57 14.3 +46 25 18    OC?     13.1   3745         9.22   -2.88   -3.59  Liu 2019           
FoF 1307            Cyg  21 01 16.1 +44 31 45    OC?     15.6   4149         8.83   -3.23   -4.13  Liu 2019           
FoF 1794            Cyg  21 40 49.9 +52 19 21    OC?     16.0   3636         7.82   -3.17   -3.42  Liu 2019           
FoF 1181            Nor  15 54 45.2 -54 23 22    OC?     11.5   2786         8.04   -3.25   -3.52  Liu 2019           
FoF 2155            Nor  16 14 39.4 -51 16 42    OC?     31.1   2193         7.76   -3.10   -3.67  Liu 2019           
FoF 962             Pup  08 03 21.9 -31 50 28    OC?     12.6   4065         9.11   -2.30    2.72  Liu 2019           
FoF 1453            Pup  08 04 18.1 -31 54 39    OC?     15.7   3484         6.84   -2.51    2.85  Liu 2019           
FoF 1191            Sco  17 12 26.1 -39 49 12    OC?     16.8   3215         8.86   -1.30   -2.73  Liu 2019           
FoF 2158            Sco  17 12 50.0 -39 43 42    OC?     20.0   2217         8.37   -1.26   -2.64  Liu 2019           
FoF 1189            Sco  17 14 27.8 -39 37 33    OC?     19.0   3344         8.78   -1.23   -2.86  Liu 2019           
FoF 279             Sco  17 19 04.0 -38 43 39    OC?     17.4   2353         8.89   -0.45   -2.25  Liu 2019           
FoF 1203            Sgr  17 50 14.1 -29 14 37    OC?     14.6   3012        10.11   -0.06   -1.71  Liu 2019           
FoF 1626            Sgr  18 04 56.8 -21 16 06    OC?     17.2   2717         8.86   -0.29   -1.73  Liu 2019           
FoF 1208            Sgr  18 05 21.5 -22 53 43    OC?     15.0   3356         8.78   -0.20   -1.51  Liu 2019           
FoF 1216            Sgr  18 09 56.3 -21 21 18    OC?     10.6   2941         8.79   -0.27   -1.84  Liu 2019           
FoF 1213            Sgr  18 10 06.5 -21 32 53    OC?     13.0   3106         8.09   -0.27   -1.58  Liu 2019           
FoF 1217            Sgr  18 10 58.4 -21 26 47    OC?     14.4   3003         8.56   -0.29   -1.98  Liu 2019           
FoF 2159            Sgr  18 11 15.4 -19 21 26    OC?     20.2   2123         8.71   -0.02   -1.42  Liu 2019           
FoF 1628            Sgr  18 11 48.7 -18 44 04    OC?     17.0   2933         9.53   -0.40   -1.97  Liu 2019           
FoF 1631            Sgr  18 11 54.3 -18 34 24    OC?     21.2   3086         8.95   -0.36   -1.77  Liu 2019           
FoF 1633            Sgr  18 11 58.0 -18 47 32    OC?     15.1   2513         8.98   -0.21   -2.32  Liu 2019           
FoF 1636            Sgr  18 12 24.4 -18 39 00    OC?     14.5   3106         6.78   -0.71   -2.39  Liu 2019           
FoF 1635            Sgr  18 13 14.5 -18 22 55    OC?     24.1   2755         8.57   -0.20   -1.61  Liu 2019           
FoF 1630            Sgr  18 13 24.8 -18 23 55    OC?     20.3   2674         6.84   -0.51   -2.21  Liu 2019           
FoF 1711            Vul  19 31 27.9 +23 52 40    OC?     15.7   3802         9.05   -2.21   -4.85  Liu 2019           
FoF 479             Vul  19 35 41.0 +23 56 25    OC?     15.1   4464         8.17   -2.83   -5.20  Liu 2019           
FoF 1718            Vul  19 52 52.9 +28 29 03    OC?     13.4   3953         8.77   -2.85   -5.35  Liu 2019           
FoF 1731            Vul  19 53 05.4 +28 31 45    OC?     12.8   3846         8.27   -2.62   -5.32  Liu 2019           
FoF 1298            Vul  19 55 17.7 +28 10 18    OC?     19.9   3401         7.92   -2.66   -5.11  Liu 2019           
