Name                          ;Alias                         ;TotCl; TotAl; TotC; FracCl%; FracAl%
UBC 372                       ;FoF 497                       ;  180;    75;   46;  25.556;  61.333
UBC 372                       ;OC-14                         ;     ;      ;     ;        ;
UBC 373                       ;Theia 1735                    ;     ;      ;     ;        ;
UBC 373                       ;Theia 1735                    ;   20;   447;   19;  95.000;   4.251
UBC 374                       ;Eklund 1                      ;     ;      ;     ;        ;
UBC 374                       ;Theia 1735                    ;   44;   447;   29;  65.909;   6.488
UBC 375                       ;Cyg OB8                       ;     ;      ;     ;        ;
UBC 378                       ;Theia 4351                    ;     ;      ;     ;        ;
UBC 378                       ;Theia 4351                    ;   29;   139;   26;  89.655;  18.705
UBC 38                        ;COIN-Gaia 3                   ;     ;      ;     ;        ;
UBC 38                        ;FoF 2229                      ;     ;      ;     ;        ;
UBC 38                        ;Theia 2882                    ;     ;      ;     ;        ;
UBC 380                       ;Loktin-Popova 53A             ;     ;      ;     ;        ;
UBC 380                       ;Theia 3405                    ;     ;      ;     ;        ;
UBC 380                       ;Theia 3405                    ;   56;   161;   14;  25.000;   8.696
UBC 382                       ;UBC 591                       ;   63;    31;   31;  49.206; 100.000
UBC 383                       ;Theia 3978                    ;     ;      ;     ;        ;
UBC 383                       ;Theia 3978                    ;   37;    91;   23;  62.162;  25.275
UBC 385                       ;Riddle 6                      ;     ;      ;     ;        ;
UBC 385                       ;Theia 91                      ;   26;   784;   23;  88.462;   2.934
UBC 385                       ;UPK 163                       ;     ;      ;     ;        ;
UBC 386                       ;Theia 901                     ;   28;   144;    9;  32.143;   6.250
UBC 387                       ;Theia 2883                    ;     ;      ;     ;        ;
UBC 387                       ;Theia 2883                    ;   31;    57;   19;  61.290;  33.333
UBC 39                        ;FoF 2133                      ;     ;      ;     ;        ;
UBC 39                        ;FoF 2133                      ;   45;    57;   32;  71.111;  56.140
UBC 390                       ;FSR 377                       ;     ;      ;     ;        ;
UBC 390                       ;FoF 515                       ;   34;   405;   10;  29.412;   2.469
UBC 392                       ;FoF 2351                      ;   33;    94;   32;  96.970;  34.043
UBC 392                       ;Theia 159                     ;     ;      ;     ;        ;
UBC 392                       ;Theia 159                     ;   33;   178;   31;  93.939;  17.416
UBC 392                       ;UPK 194                       ;     ;      ;     ;        ;
UBC 392                       ;UPK 194                       ;   33;   115;   32;  96.970;  27.826
UBC 393                       ;FoF 169                       ;  120;   192;   78;  65.000;  40.625
UBC 394                       ;FoF 2319                      ;     ;      ;     ;        ;
UBC 394                       ;FoF 2319                      ;   31;    55;   31; 100.000;  56.364
UBC 394                       ;Theia 1001                    ;     ;      ;     ;        ;
UBC 394                       ;Theia 1001                    ;   31;    82;   31; 100.000;  37.805
UBC 396                       ;Theia 500                     ;     ;      ;     ;        ;
UBC 396                       ;Theia 500                     ;   20;   233;   18;  90.000;   7.725
UBC 398                       ;FoF 1311                      ;     ;      ;     ;        ;
UBC 398                       ;FoF 1311                      ;  174;    86;   72;  41.379;  83.721
UBC 398                       ;Theia 3737                    ;     ;      ;     ;        ;
UBC 398                       ;Theia 3737                    ;  174;    49;   18;  10.345;  36.735
UBC 399                       ;Czernik 43                    ;     ;      ;     ;        ;
UBC 399                       ;FoF 355                       ;     ;      ;     ;        ;
UBC 399                       ;FoF 355                       ;  216;   398;  155;  71.759;  38.945
UBC 399                       ;FoF 525                       ;     ;      ;     ;        ;
UBC 4                         ;Theia 733                     ;     ;      ;     ;        ;
UBC 4                         ;Theia 733                     ;   44;   356;   44; 100.000;  12.360
UBC 4                         ;UPK 342                       ;     ;      ;     ;        ;
UBC 400                       ;FoF 356                       ;     ;      ;     ;        ;
UBC 400                       ;FoF 356                       ;  317;    64;   43;  13.565;  67.188
UBC 400                       ;Skiff J2330+60.2              ;  317;    26;   10;   3.155;  38.462
UBC 401                       ;FSR 441                       ;     ;      ;     ;        ;
UBC 402                       ;FoF 2197                      ;     ;      ;     ;        ;
UBC 402                       ;FoF 2197                      ;  248;   141;  139;  56.048;  98.582
UBC 402                       ;Theia 1084                    ;     ;      ;     ;        ;
UBC 402                       ;Theia 1084                    ;  248;   132;   35;  14.113;  26.515
UBC 402                       ;Theia 367                     ;     ;      ;     ;        ;
UBC 402                       ;Theia 367                     ;  248;   193;  138;  55.645;  71.503
UBC 402                       ;UPK 220                       ;     ;      ;     ;        ;
UBC 402                       ;UPK 220                       ;  248;   237;  231;  93.145;  97.468
UBC 403                       ;FoF 527                       ;   56;   605;   46;  82.143;   7.603
UBC 403                       ;Stock 17                      ;     ;      ;     ;        ;
UBC 403                       ;Stock 17                      ;   56;   200;   51;  91.071;  25.500
UBC 404                       ;FSR 451                       ;     ;      ;     ;        ;
UBC 404                       ;FoF 1319                      ;     ;      ;     ;        ;
UBC 404                       ;FoF 353                       ;     ;      ;     ;        ;
UBC 404                       ;Theia 1767                    ;     ;      ;     ;        ;
UBC 406                       ;FoF 175                       ;     ;      ;     ;        ;
UBC 406                       ;FoF 175                       ;   98;   482;   50;  51.020;  10.373
UBC 407                       ;FoF 547                       ;     ;      ;     ;        ;
UBC 407                       ;FoF 547                       ;   81;   133;   44;  54.321;  33.083
UBC 408                       ;Theia 1073                    ;     ;      ;     ;        ;
UBC 408                       ;UPK 237                       ;     ;      ;     ;        ;
UBC 409                       ;FoF 1859                      ;   88;    63;    9;  10.227;  14.286
UBC 409                       ;FoF 1860                      ;     ;      ;     ;        ;
UBC 409                       ;FoF 542                       ;   88;  2023;   42;  47.727;   2.076
UBC 409                       ;Theia 1785                    ;   88;  1522;    9;  10.227;   0.591
UBC 410                       ;FoF 542                       ;   36;  2023;   25;  69.444;   1.236
UBC 410                       ;Theia 1851                    ;   36;   446;    9;  25.000;   2.018
UBC 411                       ;FSR 519                       ;     ;      ;     ;        ;
UBC 411                       ;FoF 549                       ;     ;      ;     ;        ;
UBC 411                       ;FoF 550                       ;     ;      ;     ;        ;
UBC 412                       ;FoF 1858                      ;     ;      ;     ;        ;
UBC 412                       ;FoF 1858                      ;   37;    63;    8;  21.622;  12.698
UBC 414                       ;FoF 556                       ;   29;  1897;   28;  96.552;   1.476
UBC 415                       ;Theia 51                      ;     ;      ;     ;        ;
UBC 415                       ;Theia 51                      ;   17;   365;   16;  94.118;   4.384
UBC 418                       ;FoF 1338                      ;     ;      ;     ;        ;
UBC 418                       ;FoF 1338                      ;  169;    86;   14;   8.284;  16.279
UBC 418                       ;FoF 1345                      ;     ;      ;     ;        ;
UBC 418                       ;FoF 902                       ;     ;      ;     ;        ;
UBC 418                       ;FoF 902                       ;  169;   132;   18;  10.651;  13.636
UBC 418                       ;Per OB1B                      ;  169;     4;    1;   0.592;  25.000
UBC 418                       ;Theia 1670                    ;  169;   853;   67;  39.645;   7.855
UBC 419                       ;Theia 1670                    ;   68;   853;   14;  20.588;   1.641
UBC 42                        ;COIN-Gaia 4                   ;     ;      ;     ;        ;
UBC 42                        ;FoF 720                       ;     ;      ;     ;        ;
UBC 42                        ;Theia 2190                    ;     ;      ;     ;        ;
UBC 420                       ;FoF 1948                      ;     ;      ;     ;        ;
UBC 420                       ;FoF 1948                      ;  124;    68;    8;   6.452;  11.765
UBC 420                       ;FoF 566                       ;  124;   687;  103;  83.065;  14.993
UBC 420                       ;FoF 572                       ;     ;      ;     ;        ;
UBC 420                       ;Theia 1670                    ;  124;   853;   63;  50.806;   7.386
UBC 421                       ;FoF 180                       ;     ;      ;     ;        ;
UBC 421                       ;FoF 2134                      ;   76;   252;   10;  13.158;   3.968
UBC 421                       ;FoF 920                       ;     ;      ;     ;        ;
UBC 421                       ;FoF 920                       ;   76;    63;   24;  31.579;  38.095
UBC 421                       ;Theia 1659                    ;   76;   256;    8;  10.526;   3.125
UBC 422                       ;FoF 917                       ;     ;      ;     ;        ;
UBC 422                       ;FoF 917                       ;   32;   141;   24;  75.000;  17.021
UBC 424                       ;Theia 2814                    ;   54;   143;    7;  12.963;   4.895
UBC 426                       ;Loktin-Popova 11              ;     ;      ;     ;        ;
UBC 426                       ;Theia 2248                    ;  113;   526;   21;  18.584;   3.992
UBC 427                       ;FoF 1964                      ;     ;      ;     ;        ;
UBC 427                       ;FoF 1964                      ;   43;    54;    6;  13.953;  11.111
UBC 43                        ;COIN-Gaia 6                   ;     ;      ;     ;        ;
UBC 43                        ;FoF 74                        ;     ;      ;     ;        ;
UBC 431                       ;FoF 1368                      ;     ;      ;     ;        ;
UBC 431                       ;FoF 1368                      ;   72;    58;   15;  20.833;  25.862
UBC 431                       ;SAI 40                        ;     ;      ;     ;        ;
UBC 434                       ;FoF 1375                      ;     ;      ;     ;        ;
UBC 435                       ;FoF 1376                      ;     ;      ;     ;        ;
UBC 435                       ;FoF 1376                      ;   25;    56;    6;  24.000;  10.714
UBC 437                       ;Theia 1802                    ;   32;   107;    5;  15.625;   4.673
UBC 44                        ;Patchick 12                   ;     ;      ;     ;        ;
UBC 44                        ;Theia 4441                    ;   47;    60;    5;  10.638;   8.333
UBC 441                       ;Theia 1967                    ;   34;    44;    4;  11.765;   9.091
UBC 444                       ;FoF 2304                      ;     ;      ;     ;        ;
UBC 444                       ;FoF 2304                      ;   89;    50;   45;  50.562;  90.000
UBC 444                       ;Theia 2836                    ;     ;      ;     ;        ;
UBC 444                       ;Theia 2836                    ;   89;   106;   55;  61.798;  51.887
UBC 446                       ;Theia 83                      ;     ;      ;     ;        ;
UBC 446                       ;UPK 445                       ;     ;      ;     ;        ;
UBC 447                       ;FoF 932                       ;     ;      ;     ;        ;
UBC 447                       ;FoF 932                       ;   85;    76;   32;  37.647;  42.105
UBC 447                       ;FoF 934                       ;   85;    58;    7;   8.235;  12.069
UBC 447                       ;Theia 2858                    ;     ;      ;     ;        ;
UBC 447                       ;Theia 2858                    ;   85;    52;   14;  16.471;  26.923
UBC 447                       ;Xuyi 24                       ;     ;      ;     ;        ;
UBC 45                        ;COIN-Gaia 7                   ;     ;      ;     ;        ;
UBC 450                       ;FSR 1255                      ;     ;      ;     ;        ;
UBC 450                       ;Theia 2097                    ;  175;    44;   16;   9.143;  36.364
UBC 450                       ;UBC 634                       ;  175;    30;   29;  16.571;  96.667
UBC 451                       ;Theia 3060                    ;     ;      ;     ;        ;
UBC 451                       ;Theia 3060                    ;   14;    92;    7;  50.000;   7.609
UBC 454                       ;FoF 685                       ;     ;      ;     ;        ;
UBC 454                       ;FoF 685                       ;   67;    63;   33;  49.254;  52.381
UBC 454                       ;Theia 3411                    ;     ;      ;     ;        ;
UBC 454                       ;Theia 3411                    ;   67;   124;   22;  32.836;  17.742
UBC 455                       ;FoF 1413                      ;     ;      ;     ;        ;
UBC 455                       ;FoF 1413                      ;   67;    57;   23;  34.328;  40.351
UBC 457                       ;NGC 2367                      ;  142;    35;   20;  14.085;  57.143
UBC 46                        ;FoF 72                        ;   65;  6808;   22;  33.846;   0.323
UBC 461                       ;UBC 462                       ;     ;      ;     ;        ;
UBC 461                       ;UBC 462                       ;   77;   147;   72;  93.506;  48.980
UBC 462                       ;UBC 461                       ;     ;      ;     ;        ;
UBC 462                       ;UBC 461                       ;  147;    77;   72;  48.980;  93.506
UBC 463                       ;Theia 4649                    ;     ;      ;     ;        ;
UBC 463                       ;Theia 4649                    ;   12;    80;    6;  50.000;   7.500
UBC 464                       ;ESO 429-2                     ;     ;      ;     ;        ;
UBC 465                       ;FoF 1426                      ;  111;   121;   15;  13.514;  12.397
UBC 465                       ;Waterloo 3                    ;     ;      ;     ;        ;
UBC 465                       ;Waterloo 3                    ;  111;    64;   47;  42.342;  73.438
UBC 47                        ;Theia 6338                    ;   24;    78;    9;  37.500;  11.538
UBC 470                       ;ESO 430-18                    ;     ;      ;     ;        ;
UBC 470                       ;FoF 1440                      ;     ;      ;     ;        ;
UBC 470                       ;FoF 1449                      ;   33;    65;    9;  27.273;  13.846
UBC 472                       ;Theia 7197                    ;     ;      ;     ;        ;
UBC 472                       ;Theia 7197                    ;   57;    52;   22;  38.596;  42.308
UBC 475                       ;Theia 4848                    ;   19;   182;    7;  36.842;   3.846
UBC 477                       ;Theia 891                     ;     ;      ;     ;        ;
UBC 477                       ;UPK 508                       ;     ;      ;     ;        ;
UBC 479                       ;Theia 1884                    ;     ;      ;     ;        ;
UBC 479                       ;Theia 1884                    ;   33;   255;   27;  81.818;  10.588
UBC 48                        ;COIN-Gaia 8                   ;     ;      ;     ;        ;
UBC 480                       ;ASCC 44                       ;     ;      ;     ;        ;
UBC 480                       ;FoF 2388                      ;     ;      ;     ;        ;
UBC 480                       ;FoF 2388                      ;   13;    67;   13; 100.000;  19.403
UBC 480                       ;Theia 79                      ;     ;      ;     ;        ;
UBC 480                       ;Theia 79                      ;   13;   423;   13; 100.000;   3.073
UBC 480                       ;UPK 523                       ;     ;      ;     ;        ;
UBC 480                       ;Vela Ring J                   ;     ;      ;     ;        ;
UBC 481                       ;FoF 2219                      ;     ;      ;     ;        ;
UBC 481                       ;Theia 2474                    ;     ;      ;     ;        ;
UBC 482                       ;Alessi 172                    ;     ;      ;     ;        ;
UBC 482                       ;Theia 2078                    ;     ;      ;     ;        ;
UBC 482                       ;Theia 2078                    ;   97;   380;   27;  27.835;   7.105
UBC 484                       ;FoF 2149                      ;     ;      ;     ;        ;
UBC 485                       ;FoF 2149                      ;     ;      ;     ;        ;
UBC 485                       ;Theia 3590                    ;     ;      ;     ;        ;
UBC 486                       ;Theia 2458                    ;     ;      ;     ;        ;
UBC 486                       ;Theia 2458                    ;   33;   353;   18;  54.545;   5.099
UBC 489                       ;DBSB 39                       ;     ;      ;     ;        ;
UBC 489                       ;FoF 759                       ;     ;      ;     ;        ;
UBC 489                       ;FoF 759                       ;   81;   141;   33;  40.741;  23.404
UBC 489                       ;FoF 764                       ;   81;   488;   25;  30.864;   5.123
UBC 489                       ;FoF 994                       ;     ;      ;     ;        ;
UBC 490                       ;FoF 770                       ;     ;      ;     ;        ;
UBC 490                       ;FoF 770                       ;   77;    63;   23;  29.870;  36.508
UBC 490                       ;FoF 772                       ;   77;    59;   10;  12.987;  16.949
UBC 491                       ;FoF 215                       ;   87;   814;   63;  72.414;   7.740
UBC 491                       ;FoF 217                       ;     ;      ;     ;        ;
UBC 491                       ;FoF 217                       ;   87;   246;   12;  13.793;   4.878
UBC 491                       ;FoF 218                       ;     ;      ;     ;        ;
UBC 491                       ;FoF 218                       ;   87;    64;    9;  10.345;  14.062
UBC 492                       ;Collinder 213                 ;     ;      ;     ;        ;
UBC 494                       ;FoF 709                       ;     ;      ;     ;        ;
UBC 494                       ;FoF 709                       ;   45;    60;   20;  44.444;  33.333
UBC 495                       ;FoF 708                       ;     ;      ;     ;        ;
UBC 495                       ;FoF 708                       ;   57;    69;   19;  33.333;  27.536
UBC 497                       ;FoF 2150                      ;     ;      ;     ;        ;
UBC 497                       ;FoF 2150                      ;  139;    64;   57;  41.007;  89.062
UBC 497                       ;Teutsch 180                   ;     ;      ;     ;        ;
UBC 498                       ;FoF 800                       ;     ;      ;     ;        ;
UBC 498                       ;FoF 800                       ;   45;    53;   22;  48.889;  41.509
UBC 498                       ;OSC 155.12-59.68              ;     ;      ;     ;        ;
UBC 5                         ;Alessi 190                    ;     ;      ;     ;        ;
UBC 5                         ;FoF 2421                      ;     ;      ;     ;        ;
UBC 5                         ;FoF 2421                      ;   29;    97;   23;  79.310;  23.711
UBC 5                         ;Theia 950                     ;     ;      ;     ;        ;
UBC 5                         ;Theia 950                     ;   29;   186;   29; 100.000;  15.591
UBC 5                         ;UPK 628                       ;     ;      ;     ;        ;
UBC 50                        ;COIN-Gaia 38                  ;     ;      ;     ;        ;
UBC 50                        ;Theia 3727                    ;     ;      ;     ;        ;
UBC 501                       ;FoF 403                       ;     ;      ;     ;        ;
UBC 505                       ;Collinder 228                 ;     ;      ;     ;        ;
UBC 505                       ;Collinder 228                 ;   66;   572;   12;  18.182;   2.098
UBC 505                       ;FoF 1035                      ;     ;      ;     ;        ;
UBC 505                       ;FoF 1035                      ;   66;    92;   21;  31.818;  22.826
UBC 506                       ;FoF 712                       ;     ;      ;     ;        ;
UBC 506                       ;FoF 712                       ;   35;    76;   21;  60.000;  27.632
UBC 509                       ;Collinder 236                 ;     ;      ;     ;        ;
UBC 509                       ;FoF 129                       ;   25; 10576;    9;  36.000;   0.085
UBC 51                        ;Theia 47                      ;     ;      ;     ;        ;
UBC 51                        ;Theia 47                      ;   34;   951;   27;  79.412;   2.839
UBC 511                       ;Theia 5091                    ;     ;      ;     ;        ;
UBC 511                       ;Theia 5091                    ;   35;   147;   26;  74.286;  17.687
UBC 512                       ;FoF 1055                      ;     ;      ;     ;        ;
UBC 512                       ;FoF 1055                      ;  147;   442;   32;  21.769;   7.240
UBC 512                       ;FoF 1080                      ;     ;      ;     ;        ;
UBC 512                       ;FoF 1087                      ;     ;      ;     ;        ;
UBC 512                       ;FoF 1519                      ;     ;      ;     ;        ;
UBC 514                       ;FoF 5                         ;   26;   379;    6;  23.077;   1.583
UBC 514                       ;Theia 7784                    ;   26;   323;    5;  19.231;   1.548
UBC 515                       ;FoF 1115                      ;     ;      ;     ;        ;
UBC 517                       ;Melnik-Efremov 2              ;     ;      ;     ;        ;
UBC 517                       ;Theia 2317                    ;     ;      ;     ;        ;
UBC 517                       ;Theia 3079                    ;   53;   988;   10;  18.868;   1.012
UBC 52                        ;Theia 2371                    ;     ;      ;     ;        ;
UBC 52                        ;Theia 2371                    ;   44;    67;   25;  56.818;  37.313
UBC 522                       ;Aladin 18                     ;     ;      ;     ;        ;
UBC 522                       ;UFMG 56                       ;     ;      ;     ;        ;
UBC 525                       ;Cen OB1C                      ;     ;      ;     ;        ;
UBC 525                       ;Cen OB1C                      ;   54;     5;    1;   1.852;  20.000
UBC 526                       ;Cen OB1E                      ;   17;     7;    1;   5.882;  14.286
UBC 526                       ;DBSB 85                       ;     ;      ;     ;        ;
UBC 529                       ;FoF 1609                      ;     ;      ;     ;        ;
UBC 529                       ;FoF 1609                      ;  241;    82;   67;  27.801;  81.707
UBC 53                        ;Teutsch 56                    ;     ;      ;     ;        ;
UBC 53                        ;Theia 3090                    ;     ;      ;     ;        ;
UBC 53                        ;Theia 3090                    ;   68;   179;   26;  38.235;  14.525
UBC 530                       ;FoF 2309                      ;     ;      ;     ;        ;
UBC 530                       ;Theia 1180                    ;     ;      ;     ;        ;
UBC 533                       ;Theia 2324                    ;     ;      ;     ;        ;
UBC 533                       ;Theia 2324                    ;   23;   137;   22;  95.652;  16.058
UBC 533                       ;UFMG 36                       ;     ;      ;     ;        ;
UBC 534                       ;Theia 2908                    ;     ;      ;     ;        ;
UBC 534                       ;Theia 2908                    ;   25;   236;   22;  88.000;   9.322
UBC 535                       ;UFMG 32                       ;     ;      ;     ;        ;
UBC 537                       ;UFMG 7                        ;     ;      ;     ;        ;
UBC 538                       ;FoF 1183                      ;     ;      ;     ;        ;
UBC 538                       ;FoF 1183                      ;  122;    81;   55;  45.082;  67.901
UBC 539                       ;Theia 1990                    ;   26;    46;    5;  19.231;  10.870
UBC 54                        ;Alessi 102                    ;     ;      ;     ;        ;
UBC 54                        ;FoF 2140                      ;     ;      ;     ;        ;
UBC 54                        ;FoF 2140                      ;  143;   132;  101;  70.629;  76.515
UBC 54                        ;Theia 2574                    ;     ;      ;     ;        ;
UBC 54                        ;Theia 2574                    ;  143;   268;  106;  74.126;  39.552
UBC 542                       ;Theia 1716                    ;     ;      ;     ;        ;
UBC 542                       ;Theia 1716                    ;  107;   118;   45;  42.056;  38.136
UBC 543                       ;DBSB 166                      ;     ;      ;     ;        ;
UBC 543                       ;FoF 273                       ;     ;      ;     ;        ;
UBC 544                       ;Theia 207                     ;     ;      ;     ;        ;
UBC 544                       ;UPK 630                       ;     ;      ;     ;        ;
UBC 545                       ;Theia 2030                    ;     ;      ;     ;        ;
UBC 545                       ;Theia 2030                    ;   37;   180;    6;  16.216;   3.333
UBC 546                       ;Theia 2688                    ;     ;      ;     ;        ;
UBC 546                       ;Theia 2688                    ;   23;    62;    7;  30.435;  11.290
UBC 547                       ;Hogg 22                       ;     ;      ;     ;        ;
UBC 547                       ;Theia 1783                    ;  175;   224;   23;  13.143;  10.268
UBC 547                       ;UBC 549                       ;     ;      ;     ;        ;
UBC 549                       ;UBC 547                       ;     ;      ;     ;        ;
UBC 55                        ;FSR 686                       ;     ;      ;     ;        ;
UBC 55                        ;FSR 686                       ;   56;    12;   11;  19.643;  91.667
UBC 55                        ;FoF 2298                      ;     ;      ;     ;        ;
UBC 55                        ;FoF 2298                      ;   56;    53;   46;  82.143;  86.792
UBC 55                        ;Theia 204                     ;   56;   238;   40;  71.429;  16.807
UBC 55                        ;UPK 334                       ;     ;      ;     ;        ;
UBC 550                       ;UFMG 28                       ;     ;      ;     ;        ;
UBC 551                       ;FoF 145                       ;     ;      ;     ;        ;
UBC 551                       ;UFMG 5                        ;     ;      ;     ;        ;
UBC 552                       ;UFMG 57                       ;     ;      ;     ;        ;
UBC 553                       ;Theia 1672                    ;   38;  1200;   36;  94.737;   3.000
UBC 554                       ;Bica 515                      ;     ;      ;     ;        ;
UBC 554                       ;Theia 1704                    ;     ;      ;     ;        ;
UBC 554                       ;Theia 1704                    ;   40;    67;   25;  62.500;  37.313
UBC 554                       ;UBC 555                       ;   40;   356;   40; 100.000;  11.236
UBC 555                       ;Theia 1662                    ;     ;      ;     ;        ;
UBC 555                       ;Theia 1662                    ;  356;    47;   36;  10.112;  76.596
UBC 555                       ;Theia 1704                    ;  356;    67;   37;  10.393;  55.224
UBC 555                       ;Theia 1882                    ;  356;    44;    9;   2.528;  20.455
UBC 555                       ;UBC 554                       ;  356;    40;   40;  11.236; 100.000
UBC 556                       ;Theia 1652                    ;     ;      ;     ;        ;
UBC 556                       ;Theia 1652                    ;   33;   254;   25;  75.758;   9.843
UBC 557                       ;NGC 6268                      ;   50;   390;   50; 100.000;  12.821
UBC 557                       ;Theia 2127                    ;   50;  1045;   28;  56.000;   2.679
UBC 558                       ;FoF 146                       ;     ;      ;     ;        ;
UBC 558                       ;FoF 146                       ;  255;    88;   67;  26.275;  76.136
UBC 559                       ;Theia 1766                    ;     ;      ;     ;        ;
UBC 559                       ;Theia 1766                    ;  320;   434;  123;  38.438;  28.341
UBC 56                        ;FoF 2230                      ;     ;      ;     ;        ;
UBC 56                        ;FoF 2230                      ;   72;    84;   65;  90.278;  77.381
UBC 56                        ;Theia 1083                    ;     ;      ;     ;        ;
UBC 56                        ;Theia 1083                    ;   72;   268;   60;  83.333;  22.388
UBC 563                       ;Theia 2947                    ;     ;      ;     ;        ;
UBC 563                       ;Theia 2947                    ;   20;   222;   20; 100.000;   9.009
UBC 564                       ;FoF 1196                      ;     ;      ;     ;        ;
UBC 564                       ;FoF 1196                      ;   50;    77;   19;  38.000;  24.675
UBC 564                       ;FoF 1198                      ;     ;      ;     ;        ;
UBC 564                       ;Theia 1809                    ;     ;      ;     ;        ;
UBC 564                       ;Theia 1809                    ;   50;    56;    7;  14.000;  12.500
UBC 565                       ;FoF 1197                      ;     ;      ;     ;        ;
UBC 565                       ;FoF 1197                      ;   79;    85;   12;  15.190;  14.118
UBC 565                       ;FoF 283                       ;     ;      ;     ;        ;
UBC 565                       ;FoF 283                       ;   79;   102;   23;  29.114;  22.549
UBC 565                       ;Theia 1980                    ;     ;      ;     ;        ;
UBC 565                       ;Theia 1980                    ;   79;   487;   59;  74.684;  12.115
UBC 565                       ;Trumpler 27                   ;     ;      ;     ;        ;
UBC 566                       ;FoF 444                       ;     ;      ;     ;        ;
UBC 566                       ;FoF 444                       ;  144;   218;   86;  59.722;  39.450
UBC 566                       ;Theia 2536                    ;  144;   252;   15;  10.417;   5.952
UBC 567                       ;FoF 280                       ;     ;      ;     ;        ;
UBC 567                       ;NGC 6404                      ;     ;      ;     ;        ;
UBC 568                       ;BH 231                        ;     ;      ;     ;        ;
UBC 568                       ;FoF 1623                      ;     ;      ;     ;        ;
UBC 568                       ;FoF 1623                      ;   50;    68;   35;  70.000;  51.471
UBC 569                       ;FoF 2243                      ;     ;      ;     ;        ;
UBC 569                       ;Trumpler 28                   ;     ;      ;     ;        ;
UBC 57                        ;Theia 6177                    ;     ;      ;     ;        ;
UBC 57                        ;Theia 6177                    ;   47;    52;   14;  29.787;  26.923
UBC 570                       ;FoF 149                       ;     ;      ;     ;        ;
UBC 570                       ;FoF 149                       ;  702;   604;  351;  50.000;  58.113
UBC 570                       ;NGC 6451                      ;     ;      ;     ;        ;
UBC 570                       ;NGC 6451                      ;  702;   995;  611;  87.037;  61.407
UBC 570                       ;Theia 2680                    ;  702;    90;   46;   6.553;  51.111
UBC 570                       ;Theia 4719                    ;     ;      ;     ;        ;
UBC 570                       ;Theia 4719                    ;  702;   793;   80;  11.396;  10.088
UBC 572                       ;UFMG 33                       ;     ;      ;     ;        ;
UBC 574                       ;FoF 2117                      ;     ;      ;     ;        ;
UBC 575                       ;Theia 291                     ;     ;      ;     ;        ;
UBC 575                       ;Theia 291                     ;    9;  1242;    6;  66.667;   0.483
UBC 576                       ;Theia 154                     ;     ;      ;     ;        ;
UBC 576                       ;Theia 154                     ;   30;   562;   10;  33.333;   1.779
UBC 577                       ;Alessi 191                    ;     ;      ;     ;        ;
UBC 577                       ;Theia 1300                    ;     ;      ;     ;        ;
UBC 577                       ;Theia 1300                    ;    9;   382;    9; 100.000;   2.356
UBC 58                        ;COIN-Gaia 10                  ;     ;      ;     ;        ;
UBC 580                       ;FoF 1757                      ;     ;      ;     ;        ;
UBC 580                       ;FoF 1757                      ;   52;   145;   24;  46.154;  16.552
UBC 581                       ;FoF 2178                      ;     ;      ;     ;        ;
UBC 581                       ;UBC 369                       ;     ;      ;     ;        ;
UBC 582                       ;Theia 1876                    ;     ;      ;     ;        ;
UBC 582                       ;Theia 1876                    ;   90;   207;   42;  46.667;  20.290
UBC 583                       ;FoF 1760                      ;  107;    56;    9;   8.411;  16.071
UBC 583                       ;UBC 370                       ;     ;      ;     ;        ;
UBC 583                       ;UBC 370                       ;  107;    20;   14;  13.084;  70.000
UBC 584                       ;FSR 226                       ;     ;      ;     ;        ;
UBC 584                       ;FoF 2194                      ;     ;      ;     ;        ;
UBC 584                       ;FoF 2194                      ;   15;    58;   15; 100.000;  25.862
UBC 585                       ;FSR 227                       ;     ;      ;     ;        ;
UBC 585                       ;Theia 1920                    ;     ;      ;     ;        ;
UBC 585                       ;Theia 1920                    ;   18;    74;    7;  38.889;   9.459
UBC 587                       ;FoF 502                       ;     ;      ;     ;        ;
UBC 587                       ;FoF 502                       ;   26;   574;   25;  96.154;   4.355
UBC 588                       ;Theia 4294                    ;   23;    56;    4;  17.391;   7.143
UBC 59                        ;Theia 3885                    ;     ;      ;     ;        ;
UBC 59                        ;Theia 3885                    ;  114;    64;   19;  16.667;  29.688
UBC 591                       ;UBC 382                       ;   31;    63;   31; 100.000;  49.206
UBC 592                       ;FoF 165                       ;   19;   442;    3;  15.789;   0.679
UBC 595                       ;FoF 531                       ;   32;   409;   15;  46.875;   3.667
UBC 596                       ;Theia 2936                    ;   12;   463;    4;  33.333;   0.864
UBC 597                       ;FoF 1826                      ;     ;      ;     ;        ;
UBC 597                       ;FoF 1826                      ;   30;   151;   12;  40.000;   7.947
UBC 598                       ;FSR 508                       ;     ;      ;     ;        ;
UBC 6                         ;FoF 668                       ;     ;      ;     ;        ;
UBC 6                         ;FoF 668                       ;   76;   167;   55;  72.368;  32.934
UBC 6                         ;Teutsch 182                   ;     ;      ;     ;        ;
UBC 6                         ;Teutsch 198                   ;     ;      ;     ;        ;
UBC 6                         ;Theia 5006                    ;   76;   381;   76; 100.000;  19.948
UBC 60                        ;COIN-Gaia 11                  ;     ;      ;     ;        ;
UBC 60                        ;UPK 345                       ;     ;      ;     ;        ;
UBC 601                       ;FoF 554                       ;   17;  2839;   14;  82.353;   0.493
