Name                          ;Alias                         ;TotCl; TotAl; TotC; FracCl%; FracAl%
Alessi 179                    ;TC 0802-1854                  ;     ;      ;     ;        ;
Alessi 182                    ;Melnik-Efremov 2              ;     ;      ;     ;        ;
Alessi 185                    ;Renou 14                      ;     ;      ;     ;        ;
Alessi 185                    ;TC 2236+2948                  ;     ;      ;     ;        ;
Alessi 19                     ;LeDrew 5                      ;     ;      ;     ;        ;
Alessi 19                     ;Theia 73                      ;   60;  3081;   52;  86.667;   1.688
Alessi 190                    ;UBC 5                         ;     ;      ;     ;        ;
Alessi 191                    ;UBC 577                       ;     ;      ;     ;        ;
Alessi 193                    ;Nu Ori                        ;     ;      ;     ;        ;
Alessi 194                    ;UPK 563                       ;     ;      ;     ;        ;
Alessi 195                    ;FoF 816                       ;     ;      ;     ;        ;
Alessi 2                      ;LeDrew 4                      ;     ;      ;     ;        ;
Alessi 2                      ;Santa 25                      ;     ;      ;     ;        ;
Alessi 2                      ;Theia 847                     ;     ;      ;     ;        ;
Alessi 2                      ;Theia 847                     ;  159;   476;  157;  98.742;  32.983
