Common Name           ;Gl/GJ   ;Variable  ;Cst  ;RA_J2000   De_J2000  ;PMtot ;PosAng ;TrigPar  ;Error  ;Spect. Type  ;AparMag    ;P/D;Comments
2MASS J0652+4710 A    ;        ;          ;Aur  ;06 52 30.7 +47 10 35 ; 0.14 ; 336.0 ; 110.31  ; 0.29  ; L 3.5 V     ; 21.4  V c ;   ;
2MASS J0652+4710 B    ;        ;          ;Aur  ;06 52 30.7 +47 10 35 ; 0.14 ; 336.0 ; 110.31  ; 0.29  ; L 6.5 V     ; 21.4  V c ;   ;
Groombridge 1830      ;451     ;          ;UMa  ;11 52 58.6 +37 43 11 ; 7.05 ; 145.4 ; 110.13  ; 0.40  ; K 1   V p   ;  6.45 V   ;   ;Comp B is not real
2MASS J1750-0016      ;        ;          ;Oph  ;17 50 24.8 -00 16 15 ; 0.44 ; 296.1 ; 110.04  ; 0.43  ; L 5.5 V     ; 21.58 V   ;   ;J= 13.29
G 188-38              ;4247    ;V374 Peg  ;Peg  ;22 01 13.4 +28 18 24 ; 0.39 ; 85.0  ; 109.841 ; 0.059 ; M 4   V     ; 11.49 V   ;   ;
LHS 1375              ;3146    ;          ;Ari  ;02 16 29.8 +13 35 14 ; 0.66 ; 131.5 ; 109.80  ; 0.19  ; M 6   V     ; 15.79 V   ;   ;
CD-31 9113            ;433     ;          ;Hya  ;11 35 26.7 -32 32 23 ; 0.83 ; 185.1 ; 109.74  ; 0.37  ; M 1.5 V     ;  9.81 V   ; y ;
Beta Comae            ;502     ;          ;Com  ;13 11 52.0 +27 52 43 ; 1.19 ; 317.7 ; 109.52  ; 0.17  ; G 0   V     ;  4.25 V   ;   ;
LHS 235 (A)           ;283 A   ;          ;Pup  ;07 40 20.7 -17 24 53 ; 1.25 ; 116.6 ; 109.45  ; 0.51  ; DAZ 6       ; 12.98 V   ;   ;
LHS 234 (B)           ;283 B   ;          ;Pup  ;07 40 20.7 -17 24 53 ; 1.27 ; 115.8 ; 109.45  ; 0.51  ; M 6.5 V     ; 16.42 V   ;   ;
LSPM J0011+5908       ;        ;          ;Cas  ;00 11 31.8 +59 08 40 ; 1.47 ; 217.7 ; 109.4   ; 1.2   ; M 6   V     ; 15.87 V   ;   ;
Kappa Ceti            ;137     ;          ;Cet  ;03 19 21.6 +03 22 13 ; 0.28 ; 70.1  ; 109.38  ; 0.27  ; G 5   V     ;  4.85 V   ;   ;
WISE J2134-7137       ;        ;          ;Ind  ;21 34 56.8 -71 37 45 ; 1.38 ; 99.3  ; 109.1   ; 3.7   ; T 9   V p   ; 19.28 J   ;   ;
SDSS J1416+1348 (A)   ;        ;          ;Boo  ;14 16 24.1 +13 48 27 ; 0.16 ; 35.6  ; 109.02  ; 0.91  ; L 6   VI    ; 21.87 V   ;   ;J= 13.15
ULAS J1416+1348 (Bab) ;        ;          ;Boo  ;14 16 23.9 +13 48 36 ; 0.16 ; 35.6  ; 109.02  ; 0.91  ; T 7.5 VI c? ; 17.26 J c?;   ;Possible unresolved double (Kirkpatrick18)
LHS 1809              ;3380    ;          ;Aur  ;06 02 29.4 +49 51 42 ; 0.80 ; 174.5 ; 109.0   ; 2.0   ; M 5   V     ; 14.48 V   ;   ;
LHS 1326              ;3128    ;          ;Psc  ;02 02 14.6 +10 20 11 ; 0.72 ; 246.4 ; 108.98  ; 0.56  ; M 6   V     ; 15.61 V   ;   ;
Ross 1015             ;3801    ;          ;CVn  ;13 42 43.4 +33 17 26 ; 0.71 ; 188.6 ; 108.825 ; 0.044 ; M 4   V     ; 11.97 V   ;   ;
2MASS J0355+1133 AB   ;        ;          ;Tau  ;03 55 23.4 +11 33 44 ; 0.65 ; 159.8 ; 108.44  ; 0.88  ; L 5   V c   ; 14.8  J c ;   ;Young, AB Dor memb., 13-14 MJ
HD 102365 (A)         ;442 A   ;          ;Cen  ;11 46 31.4 -40 30 03 ; 1.59 ; 284.4 ; 108.44  ; 0.22  ; G 2   V     ;  4.89 V   ; y ;66 G. Cen
van Biesbr. 5 (B)     ;442 B   ;          ;Cen  ;11 46 32.4 -40 29 45 ; 1.59 ; 284.4 ; 108.44  ; 0.22  ; M 4   V     ; 15.43 V   ;   ;
WISE J0458+6434 A     ;        ;          ;Cam  ;04 58 53.9 +64 34 53 ;      ;       ; 108.3   ; 1.7   ; T 8.5 V     ; 17.50 J   ;   ;
WISE J0458+6434 B     ;        ;          ;Cam  ;04 58 53.9 +64 34 53 ;      ;       ; 108.3   ; 1.7   ; T 9.5 V     ; 18.48 J   ;   ;
Gamma Pavonis         ;827     ;          ;Pav  ;21 26 26.5 -65 21 56 ; 0.81 ; 6.7   ; 107.97  ; 0.19  ; F 9   V     ;  4.22 V   ;   ;
LHS 1731              ;3325    ;          ;Lep  ;05 03 19.8 -17 22 25 ; 0.50 ; 202.8 ; 107.96  ; 0.33  ; M 3   V     ; 11.74 V   ; y ;
WISE J1217+1626 A     ;        ;          ;Com  ;12 17 56.9 +16 26 40 ; 1.76 ; 148.0 ; 107.8   ; 9.5   ; T 8.5 V     ; 17.98 J   ;   ;
WISE J1217+1626 B     ;        ;          ;Com  ;12 17 56.9 +16 26 40 ; 1.76 ; 148.0 ; 107.8   ; 9.5   ; Y 0   V     ; 20.08 J   ;   ;AB rel par & J mag MKO
WISE J2325-4105       ;        ;          ;Gru  ;23 25 19.6 -41 05 35 ; 0.84 ; 91.2  ; 107.8   ; 3.7   ; T 9   V p   ; 19.75 J   ;   ;
LHS 1951 (A)          ;1103 A  ;          ;CMi  ;07 51 54.7 +00 00 15 ; 0.77 ; 160.6 ; 107.776 ; 0.092 ; M 4.5 V     ; 13.26 V   ;   ;
LHS 1952 (B)          ;1103 B  ;          ;CMi  ;07 51 55.7 +00 00 09 ; 0.77 ; 160.6 ; 107.776 ; 0.092 ; M 5   V     ; 14.7  V   ;   ;
LHS 263               ;1123    ;          ;Cha  ;09 17 05.3 -77 49 23 ; 1.02 ; 139.3 ; 107.70  ; 0.89  ; M 4.5 V     ; 13.1  V   ;   ;
LHS 1339              ;3135    ;          ;For  ;02 05 49.5 -30 10 37 ; 0.54 ; 282.2 ; 107.21  ; 0.52  ; M 2.5 V     ; 12.17 V   ;   ;
2MASS J0340-6724      ;        ;          ;Hyi  ;03 40 09.4 -67 24 05 ; 0.60 ; 328.0 ; 107.12  ; 0.61  ; L 7   V     ; 14.74 J   ;   ;
LHS 203 A             ;190     ;          ;Lep  ;05 08 35.3 -18 10 10 ; 1.38 ; 156.6 ; 106.93  ; 0.60  ; M 3.5 V     ; 10.94 V   ;   ;
LHS 203 B             ;        ;          ;Lep  ;05 08 35.3 -18 10 10 ; 1.38 ; 156.6 ; 106.93  ; 0.60  ; M 3.5 V     ; 11.21 V   ;   ;
LHS 2157              ;357     ;          ;Hya  ;09 36 01.8 -21 39 37 ; 0.92 ; 169.4 ; 106.86  ; 0.62  ; M 2.5 V     ; 10.91 V   ; y ;
2MASS J1821+1414      ;        ;          ;Her  ;18 21 28.2 +14 14 01 ; 0.24 ; 144.0 ; 106.65  ; 0.20  ; L 4.5 V     ; 13.43 J   ;   ;
Ross 33               ;176     ;          ;Tau  ;04 42 55.8 +18 57 31 ; 1.29 ; 146.7 ; 106.63  ; 0.57  ; M 2   V     ;  9.95 V   ; y ;
AC+82 1111            ;226     ;          ;Cam  ;06 10 17.2 +82 06 25 ; 1.34 ; 180.7 ; 106.57  ; 0.40  ; M 2   V     ; 10.49 V   ;   ;
LHS 194               ;3306    ;          ;Eri  ;04 37 48.8 -08 49 12 ; 1.52 ; 171.2 ; 106.270 ; 0.023 ; DQ 8        ; 14.1  V   ;   ;
BD-18 359 A           ;84      ;          ;Cet  ;02 05 04.3 -17 36 54 ; 1.30 ; 96.8  ; 105.95  ; 0.11  ; M 2.5 V     ; 10.19 V   ;   ;
BD-18 359 B           ;        ;          ;Cet  ;02 05 04.3 -17 36 54 ; 1.30 ; 96.8  ; 105.95  ; 0.11  ; M 6   V     ; 16.40 V   ;   ;ST derived from MV
LHS 54 AB             ;595     ;          ;Lib  ;15 42 06.0 -19 28 59 ; 2.25 ; 243.2 ; 105.89  ; 0.45  ; M 3   V c   ; 11.84 V c ;   ;
CD-35 5378            ;367     ;          ;Vel  ;09 44 30.2 -45 46 38 ; 0.75 ; 217.3 ; 105.69  ; 0.58  ; M 1   V     ;  9.98 V   ;   ;
UCAC4 379-100760      ;        ;          ;Ser  ;18 05 44.7 -14 22 42 ;      ;       ; 105.56  ; 0.14  ; M 5.5 V     ; 15.17 V   ;   ;Also PM J18057-1422
DENIS J1159-5247      ;        ;          ;Cen  ;11 59 27.4 -52 47 19 ; 1.08 ; 263.1 ; 105.54  ; 0.12  ; M 9   V     ; 19.0  V   ;   ;
CD-51 6859            ;479     ;          ;Cen  ;12 37 52.7 -52 00 04 ; 1.04 ; 271.4 ; 105.512 ; 0.065 ; M 3   V     ; 10.66 V   ; y ;PMS star
WISE J1141-3326       ;        ;          ;Hya  ;11 41 56.7 -33 26 36 ; 0.90 ; 264.6 ; 105.5   ; 4.3   ; Y 0   V     ; 19.76 J   ;   ;
2MASS J0034+0523      ;        ;          ;Psc  ;00 34 51.6 +05 23 05 ; 0.68 ; 74.6  ; 105.4   ; 7.5   ; T 6.5 V     ; 15.54 J   ;   ;
WISE J0713-2917       ;        ;          ;CMa  ;07 13 22.5 -29 17 52 ; 0.54 ; 139.6 ; 105.4   ; 3.0   ; Y 0   V     ; 19.81 J   ;   ;
LHS 252               ;3512    ;          ;UMa  ;08 41 20.5 +59 29 50 ; 1.31 ; 191.2 ; 105.386 ; 0.094 ; M 5.5 V     ; 15.05 V   ;   ;
Wolf 1069             ;1253    ;          ;Cyg  ;20 26 05.7 +58 34 22 ; 0.61 ; 24.1  ; 105.19  ; 0.85  ; M 5   V     ; 14.04 V   ;   ;
BPS CS 22879-0089     ;        ;          ;Mic  ;20 49 09.9 -40 12 06 ; 0.05 ; 271.9 ; 105.16  ; 0.27  ; M 4.5 V     ; 13.53 V   ;   ;2MASS J2049-4012
LHS 495               ;1256    ;          ;Del  ;20 40 34.3 +15 29 58 ; 1.49 ; 63.3  ; 105.09  ; 0.87  ; M 4.5 V     ; 13.41 V   ;   ;
BD+43 2796            ;694     ;          ;Her  ;17 43 55.9 +43 22 39 ; 0.64 ; 179.1 ; 104.985 ; 0.030 ; M 3.5 V     ; 10.51 V   ;   ;
20 Crt (A)            ;432 A   ;          ;Hya  ;11 34 29.1 -32 49 54 ; 1.06 ; 320.8 ; 104.60  ; 0.27  ; K 0   V     ;  5.98 V   ;   ;
van Biesbr. 4 (B)     ;432 B   ;          ;Hya  ;11 34 30.1 -32 50 00 ; 1.06 ; 320.8 ; 104.60  ; 0.27  ; DC          ; 15.0  V   ;   ;
LHS 2206              ;3571    ;          ;Leo  ;09 53 55.2 +20 56 45 ; 0.51 ; 320.7 ; 104.50  ; 0.12  ; M 4.5 V     ; 14.05 V   ;   ;
61 Ursae Majoris      ;434     ;          ;UMa  ;11 41 02.7 +34 12 03 ; 0.39 ; 181.9 ; 104.16  ; 0.26  ; G 8   V     ;  5.32 V   ;   ;
CD-40 5404            ;358     ;          ;Vel  ;09 39 46.9 -41 04 01 ; 0.66 ; 305.0 ; 104.08  ; 0.38  ; M 3   V     ; 10.69 V   ;   ;
PM I2050-3424         ;        ;          ;Mic  ;20 50 16.2 -34 24 43 ; 0.46 ; 127.9 ; 104.071 ; 0.087 ; M 5   V     ; 13.88 V   ;   ;
WISE J2030+0749       ;        ;          ;Del  ;20 30 42.8 +07 49 35 ; 0.67 ; 101.9 ; 103.97  ; 0.98  ; T 1.5 V     ; 14.23 J   ;   ;PSO J307.6784+07.8236
