Webb 2                ;Her  ;18 02 22.0 +26 18 36  ;***  ;   12.0 ;Ruby Ring                                         
Dol-Dzim 9            ;Her  ;18 08 47.3 +31 33 18  ;***  ;   17.4 ;                                                  
NGC 6669              ;Her  ;18 37 15.0 +22 11 47  ;***  ;    1.4 ;                                                  
NGC 1252              ;Hor  ;03 10 48.0 -57 45 36  ;***  ;   30.0 ;                                                  
Lacaille II.1         ;Hor  ;04 02 53.0 -44 26 38  ;***  ;   51.0 ;Slotegraaf 5                                      
ESO 437-61            ;Hya  ;10 48 01.7 -29 23 42  ;***  ;   13.2 ;                                                  
ESO 502-19            ;Hya  ;11 08 07.0 -26 43 01  ;***  ;   21.6 ;                                                  
ESO 442-4             ;Hya  ;12 34 04.8 -29 24 00  ;***  ;   33.6 ;                                                  
Noctus                ;Hya  ;14 00 00.0 -25 00 00  ;***  ;   78.0 ;Night Owl                                         
ESO 447-29            ;Hya  ;14 37 20.9 -29 23 42  ;***  ;   18.0 ;                                                  
NGC 1557              ;Hyi  ;04 13 08.4 -70 27 54  ;***  ;   26.4 ;                                                  
ESO 236-7             ;Ind  ;21 21 57.6 -51 51 54  ;***  ;   28.2 ;                                                  
Harrington 6          ;LMi  ;10 13 27.0 +31 27 00  ;***  ;   42.0 ;Sailboat Cluster                                  
ESO 486-45            ;Lep  ;05 16 43.0 -24 02 12  ;***  ;    3.0 ;                                                  
ESO 486-54            ;Lep  ;05 20 06.0 -26 01 59  ;***  ;   12.0 ;                                                  
NGC 2017              ;Lep  ;05 39 17.0 -17 50 48  ;***  ;   12.0 ;                                                  
NGC 5800              ;Lup  ;15 01 46.8 -51 55 01  ;***  ;   16.8 ;                                                  
Loden 2115            ;Lup  ;15 07 42.5 -54 31 19  ;***  ;   22.8 ;Anon 1507-54                                      
ESO 329-2             ;Lup  ;15 27 31.9 -41 03 00  ;***  ;   11.4 ;                                                  
ESO 389-5             ;Lup  ;15 57 48.5 -36 11 42  ;***  ;   13.4 ;                                                  
NGC 2666              ;Lyn  ;08 49 47.0 +44 42 12  ;***  ;   11.0 ;                                                  
Iskurzdajan 1         ;Lyr  ;18 47 54.0 +36 51 00  ;***  ;  110.0 ;Iskudarian 1                                      
NGC 6743              ;Lyr  ;19 01 13.7 +29 18 50  ;***  ;   21.6 ;                                                  
Ling 1                ;Lyr  ;19 01 29.0 +27 18 00  ;***  ;    5.0 ;                                                  
NGC 1520              ;Men  ;03 57 52.1 -76 48 00  ;***  ;   15.6 ;                                                  
ESO 464-9             ;Mic  ;20 59 37.0 -29 23 42  ;***  ;   10.8 ;                                                  
Collinder 91          ;Mon  ;06 21 50.4 +02 22 26  ;***  ;   30.6 ;                                                  
Collinder 92          ;Mon  ;06 22 55.2 +05 06 00  ;***  ;   25.8 ;                                                  
Dolidze 22            ;Mon  ;06 23 14.2 +04 35 24  ;***  ;   19.2 ;                                                  
NGC 2219              ;Mon  ;06 23 43.7 -04 41 42  ;***  ;   17.4 ;                                                  
Collinder 96          ;Mon  ;06 30 30.5 +02 50 42  ;***  ;   13.2 ;                                                  
Pismis 28             ;Mon  ;06 35 06.0 +04 21 18  ;***  ;   20.0 ;                                                  
NGC 2260              ;Mon  ;06 38 03.0 -01 28 24  ;***  ;   20.0 ;                                                  
Collinder 111         ;Mon  ;06 38 49.9 +06 54 54  ;***  ;   13.8 ;                                                  
Harrington 5          ;Mon  ;06 40 31.0 -09 00 18  ;***  ;    9.0 ;                                                  
Dolidze 23            ;Mon  ;06 42 37.7 +00 06 00  ;***  ;   25.2 ;                                                  
Xuyi 17               ;Mon  ;06 43 13.0 -04 51 46  ;***  ;    3.5 ;DSH J0643-0451                                    
NGC 2270              ;Mon  ;06 43 58.8 +03 28 12  ;***  ;   24.0 ;                                                  
Dolidze 24            ;Mon  ;06 44 43.7 +01 44 06  ;***  ;   16.8 ;                                                  
NGC 2306              ;Mon  ;06 54 25.2 -07 12 18  ;***  ;   26.4 ;                                                  
NGC 2312              ;Mon  ;06 58 48.0 +10 16 48  ;***  ;   13.2 ;                                                  
NGC 2319              ;Mon  ;07 00 41.0 +03 02 06  ;***  ;   19.8 ;                                                  
NGC 2338              ;Mon  ;07 07 48.0 -05 43 01  ;***  ;   10.8 ;                                                  
NGC 2351              ;Mon  ;07 13 31.7 -10 28 48  ;***  ;   12.0 ;                                                  
NGC 2364              ;Mon  ;07 20 46.0 -07 33 00  ;***  ;   13.0 ;                                                  
NGC 2368              ;Mon  ;07 21 05.3 -10 20 06  ;***  ;   15.0 ;                                                  
ESO 65-3              ;Mus  ;12 51 18.0 -69 43 48  ;***  ;   16.8 ;                                                  
ESO 65-7              ;Mus  ;13 29 09.6 -71 15 54  ;***  ;   13.2 ;                                                  
Loden 2159            ;Nor  ;15 33 39.6 -58 08 06  ;***  ;   16.8 ;                                                  
Harvard 9             ;Nor  ;15 33 50.4 -53 40 48  ;***  ;   14.4 ;                                                  
Loden 2158            ;Nor  ;15 35 04.1 -58 16 30  ;***  ;   16.8 ;                                                  
Loden 2313            ;Nor  ;15 40 56.9 -52 27 36  ;***  ;   22.2 ;Anon 1540-52                                      
Loden 2326            ;Nor  ;15 43 38.9 -52 28 12  ;***  ;   13.2 ;                                                  
Lynga 8               ;Nor  ;16 20 03.8 -50 13 01  ;***  ;    9.0 ;                                                  
NGC 6169              ;Nor  ;16 34 06.5 -44 00 58  ;***  ;   13.2 ;                                                  
ESO 8-6               ;Oct  ;14 56 54.5 -83 26 42  ;***  ;   22.2 ;                                                  
Melotte 227           ;Oct  ;20 16 48.0 -79 02 24  ;***  ;   39.6 ;Cr 411                                            
ESO 26-2              ;Oct  ;20 26 37.9 -80 00 00  ;***  ;   19.2 ;                                                  
Dolidze 27            ;Oph  ;16 36 25.2 -08 56 06  ;***  ;   27.0 ;                                                  
ESO 520-20            ;Oph  ;17 43 36.0 -24 43 05  ;***  ;    9.0 ;                                                  
NGC 6481              ;Oph  ;17 52 48.0 +04 10 01  ;***  ;   15.0 ;                                                  
NGC 6525              ;Oph  ;18 02 04.1 +11 01 01  ;***  ;   19.2 ;                                                  
NGC 1663              ;Ori  ;04 49 15.6 +13 10 12  ;***  ;   34.2 ;                                                  
NGC 1707              ;Ori  ;04 58 21.0 +08 14 20  ;***  ;    0.8 ;                                                  
Dolidze 17            ;Ori  ;05 22 31.7 +07 09 36  ;***  ;   17.4 ;                                                  
Dolidze 19            ;Ori  ;05 23 42.7 +08 09 36  ;***  ;   15.0 ;                                                  
Dol-Dzim 2            ;Ori  ;05 23 52.8 +11 29 24  ;***  ;   19.2 ;                                                  
Dolidze 21            ;Ori  ;05 27 31.9 +07 04 30  ;***  ;   20.4 ;                                                  
