Srcs: WEBDA Lit, Bukowiecki, SAI, Malysheva, Tadross, MWSC, Froebrich, Dambis, Lata, Buckner+13,14 Loktin, XHIP, Pleiades (Mamajek HP),
Hyades (OCs BOOK), Rup I, Rup III, Melnik95,09

Cluster Name                           dist     EB-V   log t    Authors                          Year  Reference

2MASS-GC01                             3370                     Baumgart                         2021, website
2MASS-GC02                             5500                     Baumgart                         2021, website
AB Doradus                               29.3                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
BDSB 106                               1478     1.25    7.150   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 107                               2378     1.30    6.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 109                               2062     1.33    7.150   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 11                                2093     1.85    8.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 111                               1763     1.15    6.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 113                               4644     1.29    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 114                               4269     1.08    6.335   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 115                               7959     1.54    8.065   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 116                               5358     1.10    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 117                               7459     1.98    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 121                               6952     1.83    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 124                               7813     1.67    7.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 125                               6699     2.08    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 127                               2846     1.77    6.800   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 13                                1735     2.50    7.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 131                               5389     2.19    6.125   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 136                               6292     1.73    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 137                               5405     1.67    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 139                               5950     1.56    6.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 141                               5805     1.73    6.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 143                               6055     1.83    6.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 15                                2743     1.27    8.590   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 151                               5665     1.89    6.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 156                               3447     1.91    7.990   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 157                               5549     1.49    6.250   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 16                                1951     1.08    7.550   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 164                               3135     1.15    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 165                               5147     1.37    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 166                               6755     1.09    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 18                                3518     1.15    7.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 19                                7514     0.38    9.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 21                                1285     1.10    8.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 22                                2014     0.60    8.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 23                                5883     1.25    8.150   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 24                                1535     1.46    7.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 3                                 1515     1.08    8.255   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 30                                1490     2.44    6.550   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 31                                1300     1.00    7.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 37                                2275     0.98    8.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 44                                2500     0.90    6.870   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 46                                2000     0.76    7.250   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 47                                1800     1.00    8.940   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 48                                8000     1.55    7.950   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 5                                 6343     1.21    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 51                               12002     1.68    8.150   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 68                                3497     0.91    8.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 73                                1110     0.54    8.875   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 74                                1715     1.02    8.450   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 77                                4857     0.83    6.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 8                                 4360     1.56    6.150   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 81                                2669     0.83    8.115   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 82                                1934     0.83    7.915   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 88                                1791     0.42    7.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 90                                2661     0.85    7.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 91                                1918     1.35    6.650   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 93                                2173     0.67    6.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BDSB 96                                1401     0.36    7.160   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 106                                 3137     0.36    9.265   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 110                                 1879     0.41    8.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 110                                 5618     0.41    9.00    Bukowiecki L., et al.            2011, AcA 62
BH 111                                 2184     0.36    8.25    Bukowiecki L., et al.            2011, AcA 62
BH 111                                 2634     0.42    8.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 118                                 1221     0.21    9.045   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 118                                 1497     0.26    8.60    Bukowiecki L., et al.            2011, AcA 62
BH 121                                 2937     0.50    6.640   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 131                                 3500                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
BH 131                                 3500             9.20    BUCKNER ET AL.                   2014, MNRAS 444, 290
BH 131                                 4430     0.83    9.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 131                                 6250     0.62    9.10    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
BH 132                                 1859     0.48    8.450   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 140                                 3168     1.79    8.20    Bukowiecki L., et al.            2011, AcA 62
BH 140                                 4810                     Baumgart                         2021, website
BH 140                                 5000             9.40    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
BH 140                                 5229     0.65    9.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 144                                 7241     0.63    9.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 144                                11800     0.70    8.85    CARRARO G., MUNARI U.            2004, MNRAS 347, 625
BH 144                                12000     0.70    8.90    CARRARO G., ET AL.               1995, A&A 300, 128
BH 144                                13677     0.37    8.90    Bukowiecki L., et al.            2011, AcA 62
BH 144                                16900     0.34    8.90    CARRARO G., ET AL.               2005, MNRAS 364, 179
BH 150                                 1537     0.21    7.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 151                                 1705     1.44    7.80    Bukowiecki L., et al.            2011, AcA 62
BH 151                                 3572     1.35    6.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 155                                 1864     0.46    8.440   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 164                                  501     0.31    7.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 19                                  3073     0.69    8.45    Bukowiecki L., et al.            2011, AcA 62
BH 19                                  3259     0.73    8.755   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 197                                 2069     1.00    8.940   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 200                                 1491     0.97    7.35    Bukowiecki L., et al.            2011, AcA 62
BH 200                                 1633     1.04    7.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 205                                 1536     0.52    7.120   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 205                                 1594     0.34    7.40    Bukowiecki L., et al.            2011, AcA 62
BH 208                                 3952     0.95    9.55    Bukowiecki L., et al.            2011, AcA 62
BH 211                                 1387     0.47    9.20    Bukowiecki L., et al.            2011, AcA 62
BH 211                                 1820     1.07    8.520   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 214                                 1579     0.65    8.710   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 217                                 1215     0.60    7.54    MCSWAIN V.M., GIES D.R.          2005, APJS 161, 118
BH 217                                 1714     1.12    7.65    Bukowiecki L., et al.            2011, AcA 62
BH 217                                 1723     1.30    7.700   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 221                                  807     0.20    7.800   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 222                                 6000     1.85    7.78    CLARIA J.J., PIATTI A.E.         2004, AP&SS 290, 353
BH 222                                 7813     1.67    7.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 223                                  895     0.75    8.450   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 23                                   356.5                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
BH 23                                   414     0.05    7.140   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 23                                   479.4                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
BH 231                                 2778     0.87    8.450   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 245                                 1100     2.25    7.18    PIATTI A.E., ET AL.              2000, A&A 362, 959
BH 245                                 1699     1.86    6.670   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 261                                 6120                     Baumgart                         2021, website
BH 34                                   950     0.03    8.480   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
BH 37                                  3354     0.88    8.90    Bukowiecki L., et al.            2011, AcA 62
