Srcs: WEBDA Lit, Bukowiecki, SAI, Malysheva, Tadross, MWSC, Froebrich, Dambis, Lata, Buckner+13,14 Loktin, XHIP, Pleiades (Mamajek HP),
Hyades (OCs BOOK), Rup I, Rup III, Melnik95,09

Cluster Name                           dist     EB-V   log t    Authors                          Year  Reference

2MASS-GC01                             3370                     Baumgart                         2021, website
2MASS-GC02                             5500                     Baumgart                         2021, website
AB Doradus                               29.3                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
Alessi 12                               543     0.08    7.460   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 12                               587.9                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
Alessi 13                               112     0.02    8.720   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 14                              2088     0.63    8.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 15                              1604     0.26    9.25    Bukowiecki L., et al.            2011, AcA 62
Alessi 15                              2362     0.42    9.190   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 15                              2509     0.91    8.653   TADROSS, A. L., ET AL.           2012, RAA 12, 75
Alessi 16                              1195     0.26    9.05    Bukowiecki L., et al.            2011, AcA 62
Alessi 16                              2088     0.63    8.650   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 17                              4697     0.44    8.220   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 18                              6287     0.65    9.010   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 19                               440.9                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
Alessi 19                               550     0.04    7.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 2                                520     0.15    8.698   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 20                               470     0.38    7.575   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 21                               596     0.07    7.700   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 3                                311     0.11    8.870   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 4                               2340     0.48    8.550   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 5                                384     0.21    7.765   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 52                              3364     1.05    9.15    Bukowiecki L., et al.            2011, AcA 62
Alessi 53                              1460     0.52    7.75    Bukowiecki L., et al.            2011, AcA 62
Alessi 53                              2360     0.61    8.699   TADROSS, A. L., ET AL.           2012, RAA  12, 75
Alessi 53                              2394     0.64    7.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 56                               700     2.97    7.40    Bukowiecki L., et al.            2011, AcA 62
Alessi 56                              5745     2.19    8.585   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 57                               758     3.03    7.35    Bukowiecki L., et al.            2011, AcA 62
Alessi 57                              3797     1.87    8.650   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 59                              3511     0.77    7.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 59                              3865     0.64    7.40    Bukowiecki L., et al.            2011, AcA 62
Alessi 6                                613     0.19    8.320   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 60                              2610     0.21    8.640   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 60                              2916     0.30    8.40    Bukowiecki L., et al.            2011, AcA 62
Alessi 62                               546     0.17    8.950   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 8                                715     0.09    8.105   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alessi 9                                218     0.10    8.550   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alicante 1                             4299     0.60    6.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Alicante 2, Negueruela 1               1972     0.95    7.65    Bukowiecki L., et al.            2011, AcA 62
Alicante 2, Negueruela 1               2800     1.25    6.980   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Andrews-Lindsay 5                      2289     2.42    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Antalova 1                              930     0.43    8.485   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Antalova 2                             1000                     ANTALOVA                         1972, BAC,23,126
Antalova 2                             1259     3.73    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Antalova 2                             3651     3.79    9.10    Bukowiecki L., et al.            2011, AcA 62
Antalova 3                             2588     1.35    8.415   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Antalova 4                             1802     1.00    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Apriamasvili 1, Basel 1                1330                     GRUBISSICH                       1965, ZF.A,60,249
Apriamasvili 1, Basel 1                1330             7.76    LINDOFF                          1968, SV.ARK.A,5,1
Apriamasvili 1, Basel 1                1585                     BECKER                           1971, AS.AP.SUP,4,241
Apriamasvili 1, Basel 1                1600                     FENKART                          1965, ZF.A,62,90
Apriamasvili 1, Basel 1                1604     0.54    8.135   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
Apriamasvili 1, Basel 1                1900                     APRIAMASHVILI                    1964, AC,N280
Apriamasvili 1, Basel 1                2124     0.54    8.15    Bukowiecki L., et al.            2011, AcA 62
Aql OB1                                2750                     RUPRECHT                         1966, TRANS,12B,354
Ara OB1                                                 7.10    BARBARO                          1969, AP.SP.SC,3,123
