Problems:
   some clusters have equal values for Kharchenko+ 2013 and 2016DAML
   some clusters have equal values for 2017AstBu..72..257L and 2016DAML
   some clusters are known by more than one name in this file

2MASS-GC 1               ; BDCC                ; 6.80 ; 10.10
ASCC 32                  ; 2016DAML            ; 0.08 ;  8.18
ASCC 32                  ; 2017AstBu..72..257L ; 0.073;  8.189
ASCC 32                  ; 2019 Bossini        ; 0.070;  7.404
ASCC 32                  ; 2020A&A...640A...1C ; 0.081;  7.40
ASCC 32                  ; Dias 2021           ; 0.071;  7.432
ASCC 32                  ; Kharchenko+ 2013    ; 0.079;  8.215
ASCC 32                  ; Tarricq 2021        ;      ;  7.41
ASCC 36                  ; 2016DAML            ; 0.00 ;  8.51
ASCC 36                  ; 2020Alessi          ;      ;  8.51
ASCC 36                  ; Kharchenko+ 2013    ; 0.000;  8.330
ASCC 40                  ; 2016DAML            ; 0.11 ;  8.58
ASCC 40                  ; Kharchenko+ 2013    ; 0.416;  8.800
ASCC 41                  ; 2016DAML            ; 0.02 ;  8.44
ASCC 41                  ; 2017AstBu..72..257L ; 0.020;  8.440
ASCC 41                  ; 2019 Bossini        ; 0.023;  8.040
ASCC 41                  ; 2020A&A...640A...1C ; 0.000;  8.33
ASCC 41                  ; Dias 2021           ; 0.025;  8.448
ASCC 41                  ; Kharchenko+ 2013    ; 0.021;  8.700
ASCC 41                  ; Tarricq 2021        ;      ;  8.33
ASCC 42                  ; 2016DAML            ; 0.10 ;  8.57
ASCC 42                  ; 2017AstBu..72..257L ; 0.239;  8.791
ASCC 42                  ; 2019 Bossini        ; 0.135;  7.986
ASCC 42                  ; Kharchenko+ 2013    ; 0.167;  8.150
ASCC 44                  ; 2016DAML            ; 0.18 ;  7.89
ASCC 44                  ; 2017AstBu..72..257L ; 0.264;  8.309
ASCC 44                  ; Kharchenko+ 2013    ; 0.271;  7.900
ASCC 45                  ; 2016DAML            ; 0.60 ;  7.12
ASCC 45                  ; Kharchenko+ 2013    ; 0.600;  7.250
ASCC 49                  ; Kharchenko+ 2013    ; 0.021;  7.895
ASCC 5                   ; 2016DAML            ; 0.25 ;  7.03
ASCC 5                   ; Kharchenko+ 2013    ; 0.021;  7.780
ASCC 50                  ; 2016DAML            ; 0.20 ;  7.48
ASCC 50                  ; 2017AstBu..72..257L ; 0.554;  8.005
ASCC 50                  ; Kharchenko+ 2013    ; 0.229;  7.800
ASCC 51                  ; 2016DAML            ; 0.05 ;  8.53
ASCC 51                  ; Kharchenko+ 2013    ; 0.104;  8.540
ASCC 54                  ; 2016DAML            ; 0.05 ;  8.84
ASCC 54                  ; Kharchenko+ 2013    ; 0.104;  8.865
ASCC 58                  ; 2016DAML            ; 0.09 ;  7.04
ASCC 58                  ; 2019 Bossini        ; 0.100;  7.826
ASCC 58                  ; 2020A&A...640A...1C ; 0.078;  7.72
ASCC 58                  ; Dias 2021           ; 0.091;  7.775
ASCC 58                  ; Kharchenko+ 2013    ; 0.135;  7.200
ASCC 58                  ; Tarricq 2021        ;      ;  7.73
ASCC 59                  ; 2016DAML            ; 0.05 ;  8.60
ASCC 59                  ; Kharchenko+ 2013    ; 0.050;  8.460
ASCC 6                   ; 2016DAML            ; 0.30 ;  8.17
ASCC 6                   ; 2019 Bossini        ; 0.281;  7.677
ASCC 6                   ; 2020A&A...640A...1C ; 0.225;  7.54
ASCC 6                   ; Dias 2021           ; 0.321;  7.852
ASCC 6                   ; Kharchenko+ 2013    ; 0.300;  7.800
ASCC 60                  ; 2016DAML            ; 0.10 ;  8.36
ASCC 60                  ; Kharchenko+ 2013    ; 0.156;  8.125
ASCC 61                  ; 2016DAML            ; 0.23 ;  7.96
ASCC 61                  ; Kharchenko+ 2013    ; 0.223;  7.665
ASCC 62                  ; 2016DAML            ; 0.24 ;  7.50
ASCC 62                  ; Kharchenko+ 2013    ; 0.531;  6.995
ASCC 63                  ; 2016DAML            ; 0.45 ;  7.24
ASCC 63                  ; Kharchenko+ 2013    ; 0.791;  7.250
ASCC 64                  ; 2016DAML            ; 0.15 ;  7.92
ASCC 64                  ; Kharchenko+ 2013    ; 0.150;  8.100
ASCC 65                  ; 2016DAML            ; 0.40 ;  7.09
ASCC 65                  ; Kharchenko+ 2013    ; 0.521;  6.850
ASCC 66                  ; 2016DAML            ; 0.10 ;  7.76
ASCC 66                  ; 2020A&A...640A...1C ; 0.022;  7.77
ASCC 66                  ; Dias 2021           ; 0.114;  8.069
ASCC 66                  ; Kharchenko+ 2013    ; 0.100;  7.760
ASCC 67                  ; 2016DAML            ; 0.30 ;  7.67
ASCC 67                  ; 2020A&A...640A...1C ; 0.181;  7.57
ASCC 67                  ; Dias 2021           ; 0.261;  7.483
ASCC 67                  ; Kharchenko+ 2013    ; 0.300;  7.670
ASCC 68                  ; 2016DAML            ; 0.10 ;  8.65
ASCC 68                  ; 2017AstBu..72..257L ; 0.197;  8.264
ASCC 68                  ; Kharchenko+ 2013    ; 0.094;  8.600
ASCC 69                  ; 2016DAML            ; 0.17 ;  7.91
ASCC 69                  ; Kharchenko+ 2013    ; 0.171;  7.910
ASCC 71                  ; 2016DAML            ; 0.25 ;  7.88
ASCC 71                  ; 2019 Bossini        ; 0.235;  8.051
ASCC 71                  ; 2020A&A...640A...1C ; 0.166;  8.11
ASCC 71                  ; Dias 2021           ; 0.295;  8.082
ASCC 71                  ; Kharchenko+ 2013    ; 0.271;  8.000
ASCC 71                  ; Tarricq 2021        ;      ;  8.13
ASCC 73                  ; 2016DAML            ; 0.05 ;  8.19
ASCC 73                  ; 2020A&A...640A...1C ; 0.072;  8.53
ASCC 73                  ; Dias 2021           ; 0.223;  8.688
ASCC 73                  ; Kharchenko+ 2013    ; 0.050;  8.190
ASCC 73                  ; Tarricq 2021        ;      ;  8.55
ASCC 75                  ; 2016DAML            ; 0.30 ;  6.65
ASCC 75                  ; Kharchenko+ 2013    ; 0.416;  6.650
ASCC 77                  ; 2016DAML            ; 0.30 ;  6.99
ASCC 77                  ; 2020A&A...640A...1C ; 0.200;  7.91
ASCC 77                  ; Dias 2021           ; 0.260;  8.083
ASCC 77                  ; Kharchenko+ 2013    ; 0.468;  6.750
ASCC 79                  ; 2016DAML            ; 0.16 ;  6.86
ASCC 79                  ; 2020A&A...640A...1C ; 0.128;  7.27
ASCC 79                  ; Dias 2021           ; 0.241;  7.365
ASCC 79                  ; Kharchenko+ 2013    ; 0.312;  6.950
ASCC 79                  ; Tarricq 2021        ;      ;  7.27
ASCC 8                   ; 2016DAML            ; 0.55 ;  6.76
ASCC 8                   ; 2017AstBu..72..257L ; 0.461;  7.900
ASCC 8                   ; Kharchenko+ 2013    ; 0.600;  7.770
ASCC 80                  ; 2016DAML            ; 0.17 ;  7.93
ASCC 80                  ; Kharchenko+ 2013    ; 0.396;  8.375
ASCC 85                  ; 2016DAML            ; 0.20 ;  7.42
ASCC 85                  ; 2020A&A...640A...1C ; 0.175;  7.85
ASCC 85                  ; Dias 2021           ; 0.235;  8.140
ASCC 85                  ; Kharchenko+ 2013    ; 0.521;  7.500
ASCC 85                  ; Tarricq 2021        ;      ;  7.89
ASCC 86                  ; 2016DAML            ; 0.12 ;  7.07
ASCC 86                  ; 2019 Bossini        ; 0.121;  7.977
ASCC 86                  ; Kharchenko+ 2013    ; 0.187;  8.050
ASCC 87                  ; 2016DAML            ; 0.26 ;  8.52
ASCC 87                  ; 2020A&A...640A...1C ; 0.178;  7.92
ASCC 87                  ; Dias 2021           ; 0.210;  8.684
ASCC 87                  ; Kharchenko+ 2013    ; 0.260;  8.550
ASCC 87                  ; Tarricq 2021        ;      ;  7.98
ASCC 88                  ; 2016DAML            ; 0.50 ;  7.17
ASCC 88                  ; 2020A&A...640A...1C ; 0.453;  8.39
ASCC 88                  ; Dias 2021           ; 0.597;  8.538
ASCC 88                  ; Kharchenko+ 2013    ; 0.729;  7.000
ASCC 88                  ; Tarricq 2021        ;      ;  8.43
ASCC 89                  ; Kharchenko+ 2013    ; 0.250;  7.000
ASCC 9                   ; 2016DAML            ; 0.90 ;  6.79
ASCC 9                   ; 2020A&A...640A...1C ; 0.697;  7.47
ASCC 9                   ; Dias 2021           ; 0.829;  6.945
ASCC 9                   ; Kharchenko+ 2013    ; 0.899;  7.000
ASCC 9                   ; Tarricq 2021        ;      ;  7.49
ASCC 90                  ; 2016DAML            ; 0.30 ;  8.81
ASCC 90                  ; 2020A&A...640A...1C ; 0.100;  8.91
ASCC 90                  ; Dias 2021           ; 0.274;  8.798
ASCC 90                  ; Kharchenko+ 2013    ; 0.300;  8.810
ASCC 90                  ; Tarricq 2021        ;      ;  8.93
ASCC 92                  ; 2016DAML            ; 0.25 ;  9.01
ASCC 92                  ; Kharchenko+ 2013    ; 0.312;  9.080
ASCC 93                  ; 2016DAML            ; 0.28 ;  7.22
ASCC 93                  ; Kharchenko+ 2013    ; 0.583;  6.100
ASCC 94                  ; 2016DAML            ; 0.20 ;  8.78
ASCC 94                  ; Kharchenko+ 2013    ; 0.250;  8.840
ASCC 95                  ; 2016DAML            ; 0.32 ;  8.04
ASCC 95                  ; Kharchenko+ 2013    ; 0.250;  8.410
ASCC 96                  ; Kharchenko+ 2013    ; 0.150;  8.400
ASCC 97                  ; 2016DAML            ; 0.40 ;  7.88
ASCC 97                  ; 2017AstBu..72..257L ; 0.394;  8.485
ASCC 97                  ; 2020A&A...640A...1C ; 0.366;  8.05
ASCC 97                  ; Dias 2021           ; 0.466;  8.228
ASCC 97                  ; Kharchenko+ 2013    ; 0.437;  7.880
ASCC 97                  ; Tarricq 2021        ;      ;  8.05
ASCC 99                  ; 2016DAML            ; 0.15 ;  8.71
ASCC 99                  ; 2020A&A...640A...1C ; 0.147;  8.55
ASCC 99                  ; Dias 2021           ; 0.246;  8.489
ASCC 99                  ; Kharchenko+ 2013    ; 0.125;  8.750
ASCC 99                  ; Tarricq 2021        ;      ;  8.56
Achernar subgr           ; 2020Alessi          ;      ;  7.57
Achernar subgr           ; BDCC                ;      ;  7.65
Alcaeus                  ; arXiv:2102.08263v1  ;      ;  6.60
Alessi 1                 ; 2016DAML            ; 0.09 ;  8.20
Alessi 1                 ; 2017AstBu..72..257L ; 0.082;  8.334
Alessi 1                 ; 2019 Bossini        ; 0.104;  8.935
Alessi 1                 ; 2020A&A...640A...1C ; 0.025;  9.16
Alessi 1                 ; Dias 2021           ; 0.134;  8.993
Alessi 1                 ; Kharchenko+ 2013    ; 0.100;  8.840
Alessi 1                 ; Tarricq 2021        ;      ;  9.18
Alessi 10                ; 2016DAML            ; 0.22 ;  8.35
Alessi 10                ; 2017AstBu..72..257L ; 0.241;  8.290
Alessi 10                ; 2019 Bossini        ; 0.136;  7.746
Alessi 10                ; 2020A&A...640A...1C ; 0.103;  7.96
Alessi 10                ; Dias 2021           ; 0.160;  8.547
Alessi 10                ; Kharchenko+ 2013    ; 0.221;  8.195
Alessi 10                ; Tarricq 2021        ;      ;  7.98
Alessi 106               ; 2020Alessi          ; 0.02 ;  8.75
Alessi 109               ; 2020Alessi          ; 0.09 ;  8.50
Alessi 12                ; 2016DAML            ; 0.08 ;  8.10
Alessi 12                ; 2017AstBu..72..257L ; 0.175;  8.377
Alessi 12                ; 2019 Bossini        ; 0.069;  8.089
Alessi 12                ; 2020A&A...640A...1C ; 0.031;  8.13
Alessi 12                ; Dias 2021           ; 0.080;  8.195
Alessi 12                ; Kharchenko+ 2013    ; 0.079;  7.460
Alessi 12                ; Tarricq 2021        ;      ;  8.14
Alessi 13                ; 2020A&A...640A...1C ; 0.031;  7.55
Alessi 13                ; Dias 2021           ; 0.013;  7.769
Alessi 13                ; Gagne+ 2018         ;      ;  8.699
Alessi 13                ; Kerr 2021           ;      ;  7.585
Alessi 13                ; Kharchenko+ 2013    ; 0.021;  8.720
Alessi 13                ; Tarricq 2021        ;      ;  7.55
Alessi 137               ; 2020Alessi          ; 0.04 ;  8.36
Alessi 15                ; 2016DAML            ; 0.27 ;  9.25
Alessi 15                ; 2020A&A...640A...1C ; 0.681;  7.53
Alessi 15                ; Kharchenko+ 2013    ; 0.416;  9.190
Alessi 16                ; 2016DAML            ; 0.27 ;  9.05
Alessi 16                ; Kharchenko+ 2013    ; 0.625;  8.650
Alessi 17                ; Dias 2021           ; 0.261;  8.953
Alessi 17                ; Kharchenko+ 2013    ; 0.437;  8.220
Alessi 18                ; 2016DAML            ; 0.645;  9.010
Alessi 18                ; 2020A&A...640A...1C ; 0.775;  6.71
Alessi 18                ; Dias 2021           ; 0.658;  8.819
Alessi 18                ; Kharchenko+ 2013    ; 0.645;  9.010
Alessi 19                ; 2016DAML            ; 0.04 ;  8.00
Alessi 19                ; 2017AstBu..72..257L ; 0.040;  8.000
Alessi 19                ; 2019 Bossini        ; 0.051;  7.380
Alessi 19                ; 2020A&A...640A...1C ; 0.097;  7.41
Alessi 19                ; Dias 2021           ; 0.131;  7.763
Alessi 19                ; Kharchenko+ 2013    ; 0.040;  7.900
Alessi 19                ; Tarricq 2021        ;      ;  7.42
Alessi 2                 ; 2016DAML            ; 0.18 ;  8.50
Alessi 2                 ; 2017AstBu..72..257L ; 0.309;  7.529
Alessi 2                 ; 2019 Bossini        ; 0.155;  8.759
Alessi 2                 ; 2020A&A...640A...1C ; 0.163;  8.55
