Problems:
   some clusters have equal values for Kharchenko+ 2013 and 2016DAML
   some clusters have equal values for 2017AstBu..72..257L and 2016DAML
   some clusters are known by more than one name in this file

2MASS-GC 1               ; BDCC                ; 6.80 ; 10.10
Theia 569                ; Theia II            ; 0.361;  8.43
Theia 5710               ; Theia II            ; 0.748;  8.86
Theia 5732               ; Theia II            ; 0.442;  8.86
Theia 575                ; 2019AJ....158..122K ;      ;  8.30
Theia 575                ; Theia II            ; 0.410;  8.26
Theia 577                ; 2019AJ....158..122K ;      ;  8.36
Theia 577                ; Theia II            ; 0.348;  8.43
Theia 5773               ; Theia II            ; 0.432;  8.87
Theia 578                ; 2019AJ....158..122K ;      ;  8.36
Theia 578                ; Theia II            ; 0.452;  7.89
Theia 5786               ; Theia II            ; 0.700;  8.87
Theia 58                 ; 2019AJ....158..122K ;      ;  7.40
Theia 58                 ; Theia II            ; 0.123;  7.52
Theia 5805               ; Theia II            ; 0.752;  8.88
Theia 5840               ; Theia II            ; 0.919;  8.89
Theia 585                ; 2019AJ....158..122K ;      ;  8.31
Theia 585                ; Theia II            ; 0.213;  8.35
Theia 5855               ; Theia II            ; 0.813;  8.89
Theia 586                ; 2019AJ....158..122K ;      ;  8.39
Theia 586                ; Theia II            ; 0.377;  8.42
Theia 587                ; 2019AJ....158..122K ;      ;  8.30
Theia 587                ; Theia II            ; 0.190;  8.29
Theia 588                ; 2019AJ....158..122K ;      ;  8.32
Theia 588                ; Theia II            ; 0.277;  8.45
Theia 589                ; 2019AJ....158..122K ;      ;  8.35
Theia 589                ; Theia II            ; 0.552;  7.52
Theia 590                ; 2019AJ....158..122K ;      ;  8.34
Theia 590                ; Theia II            ; 0.665;  7.91
Theia 5903               ; Theia II            ; 0.584;  8.90
Theia 591                ; 2019AJ....158..122K ;      ;  8.32
Theia 591                ; Theia II            ; 0.445;  7.95
Theia 592                ; 2019AJ....158..122K ;      ;  8.38
Theia 592                ; Theia II            ; 0.571;  8.00
Theia 5922               ; Theia II            ; 0.626;  8.90
Theia 593                ; 2019AJ....158..122K ;      ;  8.33
Theia 593                ; Theia II            ; 0.494;  7.99
Theia 5931               ; Theia II            ; 0.713;  8.90
Theia 5939               ; Theia II            ; 0.345;  8.91
Theia 5956               ; Theia II            ; 0.397;  8.91
Theia 598                ; 2019AJ....158..122K ;      ;  8.46
Theia 598                ; Theia II            ; 0.119;  8.45
Theia 599                ; 2019AJ....158..122K ;      ;  8.42
Theia 599                ; Theia II            ; 0.129;  8.48
Theia 6                  ; 2019AJ....158..122K ;      ;  6.38
Theia 6                  ; Theia II            ; 0.200;  6.56
Theia 60                 ; 2019AJ....158..122K ;      ;  7.39
Theia 60                 ; Theia II            ; 0.345;  8.04
Theia 6035               ; Theia II            ; 0.361;  8.93
Theia 6039               ; Theia II            ; 0.703;  8.93
Theia 6042               ; Theia II            ; 0.277;  8.93
Theia 6050               ; Theia II            ; 0.610;  8.93
Theia 607                ; 2019AJ....158..122K ;      ;  8.47
Theia 607                ; Theia II            ; 0.110;  8.28
Theia 609                ; 2019AJ....158..122K ;      ;  8.43
Theia 609                ; Theia II            ; 0.139;  8.33
Theia 6095               ; Theia II            ; 0.284;  8.94
Theia 6097               ; Theia II            ; 0.361;  8.94
Theia 61                 ; 2019AJ....158..122K ;      ;  7.37
Theia 61                 ; Theia II            ; 0.410;  7.71
Theia 613                ; 2019AJ....158..122K ;      ;  8.40
Theia 613                ; Theia II            ; 0.132;  8.16
Theia 6137               ; Theia II            ; 0.358;  8.95
Theia 6174               ; Theia II            ; 0.329;  8.96
Theia 6177               ; Theia II            ; 0.648;  8.96
Theia 6191               ; Theia II            ; 0.290;  8.96
Theia 6194               ; Theia II            ; 0.400;  8.96
Theia 623                ; 2019AJ....158..122K ;      ;  8.46
Theia 623                ; Theia II            ; 0.177;  8.52
Theia 6245               ; Theia II            ; 0.200;  8.97
Theia 627                ; 2019AJ....158..122K ;      ;  8.44
Theia 627                ; Theia II            ; 0.406;  8.48
Theia 6270               ; Theia II            ; 0.377;  8.97
Theia 63                 ; 2019AJ....158..122K ;      ;  7.43
Theia 63                 ; Theia II            ; 0.084;  7.18
Theia 635                ; 2019AJ....158..122K ;      ;  8.44
Theia 635                ; Theia II            ; 0.132;  8.40
Theia 64                 ; 2019AJ....158..122K ;      ;  7.42
Theia 64                 ; Theia II            ; 0.229;  7.26
Theia 640                ; 2019AJ....158..122K ;      ;  8.47
Theia 640                ; Theia II            ; 0.287;  8.61
Theia 646                ; 2019AJ....158..122K ;      ;  8.41
Theia 646                ; Theia II            ; 0.265;  8.56
Theia 6461               ; Theia II            ; 0.548;  9.02
Theia 6475               ; Theia II            ; 0.623;  9.02
Theia 65                 ; 2019AJ....158..122K ;      ;  7.42
Theia 65                 ; Theia II            ; 0.165;  7.11
Theia 650                ; 2019AJ....158..122K ;      ;  8.47
Theia 650                ; Theia II            ; 0.384;  8.25
Theia 651                ; 2019AJ....158..122K ;      ;  8.45
Theia 651                ; Theia II            ; 0.132;  8.54
Theia 653                ; 2019AJ....158..122K ;      ;  8.42
Theia 653                ; Theia II            ; 0.455;  8.19
Theia 6552               ; Theia II            ; 0.216;  9.04
Theia 6569               ; Theia II            ; 0.623;  9.04
Theia 6581               ; Theia II            ; 0.203;  9.05
Theia 659                ; 2019AJ....158..122K ;      ;  8.41
Theia 659                ; Theia II            ; 0.329;  8.46
Theia 6599               ; Theia II            ; 0.690;  9.05
Theia 66                 ; 2019AJ....158..122K ;      ;  7.44
Theia 66                 ; Theia II            ; 0.271;  6.89
Theia 665                ; 2019AJ....158..122K ;      ;  8.43
Theia 665                ; Theia II            ; 0.213;  8.07
Theia 666                ; 2019AJ....158..122K ;      ;  8.48
Theia 666                ; Theia II            ; 0.313;  8.33
Theia 667                ; 2019AJ....158..122K ;      ;  8.46
Theia 667                ; Theia II            ; 0.319;  8.41
Theia 6674               ; Theia II            ; 0.784;  9.07
Theia 67                 ; Kerr 2021           ;      ;  7.305
Theia 671                ; 2019AJ....158..122K ;      ;  8.45
Theia 671                ; Theia II            ; 0.742;  8.36
Theia 672                ; 2019AJ....158..122K ;      ;  8.43
Theia 672                ; Theia II            ; 0.565;  8.18
Theia 673                ; 2019AJ....158..122K ;      ;  8.48
Theia 6736               ; Theia II            ; 0.268;  9.08
Theia 674                ; 2019AJ....158..122K ;      ;  8.43
Theia 674                ; Theia II            ; 0.416;  8.66
Theia 675                ; 2019AJ....158..122K ;      ;  8.40
Theia 675                ; Theia II            ; 0.316;  8.26
Theia 68                 ; 2019AJ....158..122K ;      ;  7.43
Theia 68                 ; Theia II            ; 0.158;  7.45
Theia 69                 ; 2019AJ....158..122K ;      ;  7.50
Theia 69                 ; Kerr 2021           ;      ;  7.480
Theia 69                 ; Theia II            ; 0.116;  7.55
Theia 692                ; 2019AJ....158..122K ;      ;  8.59
Theia 692                ; Theia II            ; 0.158;  8.36
Theia 7                  ; 2019AJ....158..122K ;      ;  6.50
Theia 7                  ; Theia II            ; 0.248;  6.46
Theia 70                 ; Kerr 2021           ;      ;  7.243
Theia 702                ; 2019AJ....158..122K ;      ;  8.54
Theia 702                ; Theia II            ; 0.168;  8.48
Theia 703                ; 2019AJ....158..122K ;      ;  8.52
Theia 703                ; Theia II            ; 0.181;  8.37
Theia 711                ; 2019AJ....158..122K ;      ;  8.55
Theia 711                ; Theia II            ; 0.268;  7.96
Theia 7197               ; Theia II            ; 0.529;  9.18
Theia 720                ; 2019AJ....158..122K ;      ;  8.55
Theia 720                ; Theia II            ; 0.094;  8.35
Theia 727                ; 2019AJ....158..122K ;      ;  8.59
Theia 727                ; Theia II            ; 0.152;  8.21
Theia 73                 ; 2019AJ....158..122K ;      ;  7.42
Theia 73                 ; Theia II            ; 0.165;  7.34
Theia 730                ; 2019AJ....158..122K ;      ;  8.53
Theia 730                ; Theia II            ; 0.248;  8.28
Theia 732                ; 2019AJ....158..122K ;      ;  8.54
Theia 732                ; Theia II            ; 0.229;  8.49
Theia 733                ; 2019AJ....158..122K ;      ;  8.59
Theia 733                ; Theia II            ; 0.277;  8.51
Theia 735                ; 2019AJ....158..122K ;      ;  8.56
Theia 735                ; Theia II            ; 0.229;  8.58
Theia 737                ; 2019AJ....158..122K ;      ;  8.54
Theia 737                ; Theia II            ; 0.165;  8.35
Theia 738                ; 2019AJ....158..122K ;      ;  8.58
Theia 738                ; Theia II            ; 0.332;  8.53
Theia 739                ; 2019AJ....158..122K ;      ;  8.58
Theia 739                ; Theia II            ; 0.503;  8.54
Theia 7398               ; Theia II            ; 0.316;  9.23
Theia 74                 ; 2019AJ....158..122K ;      ;  7.50
Theia 74                 ; Theia II            ; 0.084;  7.48
Theia 740                ; 2019AJ....158..122K ;      ;  8.59
Theia 740                ; Theia II            ; 0.361;  8.42
Theia 741                ; 2019AJ....158..122K ;      ;  8.54
Theia 741                ; Theia II            ; 0.468;  8.40
Theia 7410               ; Theia II            ; 0.355;  9.24
Theia 743                ; 2019AJ....158..122K ;      ;  8.51
Theia 743                ; Theia II            ; 0.155;  8.13
Theia 745                ; 2019AJ....158..122K ;      ;  8.55
Theia 745                ; Theia II            ; 0.306;  8.26
Theia 747                ; 2019AJ....158..122K ;      ;  8.57
Theia 747                ; Theia II            ; 0.274;  8.22
Theia 749                ; 2019AJ....158..122K ;      ;  8.50
Theia 749                ; Theia II            ; 0.419;  8.03
Theia 75                 ; 2019AJ....158..122K ;      ;  7.47
Theia 75                 ; Theia II            ; 0.190;  7.39
Theia 7520               ; Theia II            ; 0.439;  9.27
Theia 7522               ; Theia II            ; 0.213;  9.27
Theia 754                ; 2019AJ....158..122K ;      ;  8.55
Theia 754                ; Theia II            ; 0.384;  8.32
Theia 757                ; 2019AJ....158..122K ;      ;  8.58
Theia 757                ; Theia II            ; 0.371;  8.58
Theia 7580               ; Theia II            ; 0.677;  9.28
Theia 759                ; 2019AJ....158..122K ;      ;  8.57
Theia 759                ; Theia II            ; 0.177;  8.29
Theia 76                 ; 2019AJ....158..122K ;      ;  7.40
Theia 76                 ; Theia II            ; 0.145;  7.58
Theia 760                ; 2019AJ....158..122K ;      ;  8.53
Theia 760                ; Theia II            ; 0.290;  8.31
Theia 761                ; 2019AJ....158..122K ;      ;  8.55
Theia 761                ; Theia II            ; 0.461;  7.77
Theia 766                ; 2019AJ....158..122K ;      ;  8.50
Theia 766                ; Theia II            ; 0.213;  8.19
Theia 769                ; 2019AJ....158..122K ;      ;  8.52
Theia 769                ; Theia II            ; 0.623;  8.18
Theia 77                 ; 2019AJ....158..122K ;      ;  7.42
Theia 77                 ; Theia II            ; 0.216;  6.92
Theia 770                ; 2019AJ....158..122K ;      ;  8.52
Theia 770                ; Theia II            ; 0.403;  8.64
Theia 771                ; 2019AJ....158..122K ;      ;  8.60
Theia 771                ; Theia II            ; 0.274;  8.58
Theia 772                ; 2019AJ....158..122K ;      ;  8.53
Theia 772                ; Theia II            ; 0.326;  8.27
Theia 773                ; 2019AJ....158..122K ;      ;  8.56
Theia 773                ; Theia II            ; 0.323;  8.53
Theia 775                ; 2019AJ....158..122K ;      ;  8.55
Theia 775                ; Theia II            ; 0.406;  8.41
Theia 776                ; 2019AJ....158..122K ;      ;  8.52
Theia 776                ; Theia II            ; 0.187;  8.54
Theia 777                ; 2019AJ....158..122K ;      ;  8.58
Theia 778                ; 2019AJ....158..122K ;      ;  8.59
Theia 778                ; Theia II            ; 0.319;  8.30
Theia 7784               ; Theia II            ; 0.200;  9.35
Theia 779                ; 2019AJ....158..122K ;      ;  8.52
Theia 779                ; Theia II            ; 0.219;  8.35
Theia 782                ; 2019AJ....158..122K ;      ;  8.58
Theia 782                ; Theia II            ; 0.274;  8.36
Theia 7859               ; Theia II            ; 0.255;  9.38
Theia 7864               ; Theia II            ; 0.323;  9.38
Theia 787                ; 2019AJ....158..122K ;      ;  8.64
Theia 787                ; Theia II            ; 0.094;  8.43
Theia 79                 ; 2019AJ....158..122K ;      ;  7.41
Theia 79                 ; Theia II            ; 0.197;  7.47
Theia 8                  ; 2019AJ....158..122K ;      ;  6.50
Theia 8                  ; Theia II            ; 0.216;  6.55
Theia 80                 ; 2019AJ....158..122K ;      ;  7.42
Theia 80                 ; Theia II            ; 0.087;  7.36
Theia 817                ; 2019AJ....158..122K ;      ;  8.69
Theia 817                ; Theia II            ; 0.161;  8.43
Theia 8180               ; Theia II            ; 0.168;  9.54
Theia 82                 ; 2019AJ....158..122K ;      ;  7.42
Theia 82                 ; Theia II            ; 0.077;  7.27
Theia 821                ; 2019AJ....158..122K ;      ;  8.66
Theia 821                ; Theia II            ; 0.187;  8.38
Theia 823                ; 2019AJ....158..122K ;      ;  8.62
Theia 823                ; Theia II            ; 0.113;  8.64
Theia 826                ; 2019AJ....158..122K ;      ;  8.66
Theia 826                ; Theia II            ; 0.100;  8.37
Theia 83                 ; 2019AJ....158..122K ;      ;  7.46
Theia 83                 ; Theia II            ; 0.232;  7.23
Theia 834                ; 2019AJ....158..122K ;      ;  8.64
Theia 834                ; Theia II            ; 0.158;  8.59
Theia 84                 ; 2019AJ....158..122K ;      ;  7.44
Theia 840                ; 2019AJ....158..122K ;      ;  8.61
Theia 840                ; Theia II            ; 0.335;  8.05
Theia 841                ; 2019AJ....158..122K ;      ;  8.66
Theia 841                ; Theia II            ; 0.106;  8.58
Theia 842                ; 2019AJ....158..122K ;      ;  8.63
Theia 842                ; Theia II            ; 0.158;  8.42
Theia 844                ; 2019AJ....158..122K ;      ;  8.64
Theia 844                ; Theia II            ; 0.229;  8.51
Theia 847                ; 2019AJ....158..122K ;      ;  8.65
Theia 847                ; Theia II            ; 0.277;  8.26
Theia 848                ; 2019AJ....158..122K ;      ;  8.63
Theia 848                ; Theia II            ; 0.552;  8.09
Theia 85                 ; 2019AJ....158..122K ;      ;  7.43
Theia 85                 ; Theia II            ; 0.319;  7.80
Theia 850                ; 2019AJ....158..122K ;      ;  8.64
Theia 850                ; Theia II            ; 0.403;  8.17
Theia 851                ; 2019AJ....158..122K ;      ;  8.63
Theia 851                ; Theia II            ; 0.281;  8.26
Theia 853                ; 2019AJ....158..122K ;      ;  8.63
Theia 853                ; Theia II            ; 0.387;  8.38
Theia 859                ; 2019AJ....158..122K ;      ;  8.64
Theia 859                ; Theia II            ; 0.194;  8.36
Theia 862                ; 2019AJ....158..122K ;      ;  8.62
Theia 862                ; Theia II            ; 0.326;  8.61
Theia 863                ; 2019AJ....158..122K ;      ;  8.64
Theia 863                ; Theia II            ; 0.381;  8.51
Theia 864                ; 2019AJ....158..122K ;      ;  8.65
Theia 864                ; Theia II            ; 0.484;  8.31
Theia 868                ; 2019AJ....158..122K ;      ;  8.67
Theia 868                ; Theia II            ; 0.419;  8.46
Theia 869                ; 2019AJ....158..122K ;      ;  8.61
Theia 869                ; Theia II            ; 0.419;  8.61
Theia 87                 ; 2019AJ....158..122K ;      ;  7.42
Theia 87                 ; Theia II            ; 0.048;  7.38
Theia 870                ; 2019AJ....158..122K ;      ;  8.60
Theia 870                ; Theia II            ; 0.139;  8.32
Theia 872                ; 2019AJ....158..122K ;      ;  8.62
Theia 872                ; Theia II            ; 0.465;  8.15
Theia 873                ; 2019AJ....158..122K ;      ;  8.61
Theia 873                ; Theia II            ; 0.500;  8.19
Theia 874                ; 2019AJ....158..122K ;      ;  8.65
Theia 874                ; Theia II            ; 0.290;  8.42
Theia 875                ; 2019AJ....158..122K ;      ;  8.67
Theia 875                ; Theia II            ; 0.361;  8.65
Theia 876                ; 2019AJ....158..122K ;      ;  8.62
Theia 876                ; Theia II            ; 0.319;  8.59
Theia 880                ; 2019AJ....158..122K ;      ;  8.66
Theia 880                ; Theia II            ; 0.274;  8.55
Theia 882                ; 2019AJ....158..122K ;      ;  8.67
Theia 882                ; Theia II            ; 0.294;  8.46
Theia 884                ; 2019AJ....158..122K ;      ;  8.70
Theia 884                ; Theia II            ; 0.377;  8.45
Theia 888                ; 2019AJ....158..122K ;      ;  8.68
Theia 888                ; Theia II            ; 0.219;  8.54
Theia 89                 ; 2019AJ....158..122K ;      ;  7.42
Theia 89                 ; Theia II            ; 0.303;  6.96
Theia 891                ; 2019AJ....158..122K ;      ;  8.60
Theia 891                ; Theia II            ; 0.255;  8.49
Theia 892                ; 2019AJ....158..122K ;      ;  8.69
Theia 892                ; Theia II            ; 0.423;  8.48
Theia 893                ; 2019AJ....158..122K ;      ;  8.67
Theia 893                ; Theia II            ; 0.432;  8.33
Theia 897                ; 2019AJ....158..122K ;      ;  8.68
Theia 897                ; Theia II            ; 0.397;  8.46
Theia 898                ; 2019AJ....158..122K ;      ;  8.67
Theia 898                ; Theia II            ; 0.194;  8.39
Theia 899                ; 2019AJ....158..122K ;      ;  8.66
Theia 899                ; Theia II            ; 0.594;  8.52
Theia 9                  ; 2019AJ....158..122K ;      ;  6.64
Theia 9                  ; Theia II            ; 0.429;  6.72
Theia 90                 ; 2019AJ....158..122K ;      ;  7.42
Theia 90                 ; Theia II            ; 0.384;  7.07
Theia 900                ; 2019AJ....158..122K ;      ;  8.62
Theia 900                ; Theia II            ; 0.565;  8.43
Theia 901                ; 2019AJ....158..122K ;      ;  8.69
Theia 901                ; Theia II            ; 0.432;  8.10
Theia 902                ; 2019AJ....158..122K ;      ;  8.65
Theia 902                ; Theia II            ; 0.439;  7.92
Theia 903                ; 2019AJ....158..122K ;      ;  8.69
Theia 903                ; Theia II            ; 0.339;  8.07
Theia 91                 ; 2019AJ....158..122K ;      ;  7.42
Theia 91                 ; Theia II            ; 0.532;  7.35
Theia 919                ; 2019AJ....158..122K ;      ;  8.79
Theia 919                ; Theia II            ; 0.248;  8.56
Theia 92                 ; 2019AJ....158..122K ;      ;  7.55
Theia 92                 ; Theia II            ; 0.132;  7.65
Theia 924                ; 2019AJ....158..122K ;      ;  8.80
Theia 924                ; Theia II            ; 0.216;  8.60
Theia 929                ; 2019AJ....158..122K ;      ;  8.73
Theia 929                ; Theia II            ; 0.081;  8.74
Theia 93                 ; 2019AJ....158..122K ;      ;  7.50
Theia 93                 ; Kerr 2021           ;      ;  6.929
Theia 93                 ; Theia II            ; 0.174;  7.22
Theia 932                ; 2019AJ....158..122K ;      ;  8.70
Theia 932                ; Theia II            ; 0.239;  8.68
Theia 938                ; 2019AJ....158..122K ;      ;  8.71
Theia 938                ; Theia II            ; 0.255;  8.57
Theia 943                ; 2019AJ....158..122K ;      ;  8.73
Theia 943                ; Theia II            ; 0.265;  8.72
Theia 948                ; 2019AJ....158..122K ;      ;  8.80
Theia 948                ; Theia II            ; 0.335;  8.48
Theia 950                ; 2019AJ....158..122K ;      ;  8.70
Theia 950                ; Theia II            ; 0.287;  8.52
Theia 952                ; 2019AJ....158..122K ;      ;  8.71
Theia 952                ; Theia II            ; 0.390;  8.24
Theia 955                ; 2019AJ....158..122K ;      ;  8.78
Theia 955                ; Theia II            ; 0.361;  8.69
Theia 959                ; 2019AJ....158..122K ;      ;  8.80
Theia 959                ; Theia II            ; 0.155;  8.75
Theia 96                 ; 2019AJ....158..122K ;      ;  7.55
Theia 96                 ; Theia II            ; 0.106;  7.53
Theia 962                ; 2019AJ....158..122K ;      ;  8.75
Theia 962                ; Theia II            ; 0.323;  8.63
Theia 963                ; 2019AJ....158..122K ;      ;  8.77
Theia 963                ; Theia II            ; 0.500;  8.68
Theia 964                ; 2019AJ....158..122K ;      ;  8.71
Theia 964                ; Theia II            ; 0.406;  8.26
Theia 965                ; 2019AJ....158..122K ;      ;  8.75
Theia 965                ; Theia II            ; 0.113;  8.76
Theia 973                ; 2019AJ....158..122K ;      ;  8.73
Theia 973                ; Theia II            ; 0.400;  8.55
Theia 974                ; 2019AJ....158..122K ;      ;  8.71
Theia 974                ; Theia II            ; 0.423;  8.87
Theia 978                ; 2019AJ....158..122K ;      ;  8.76
Theia 978                ; Theia II            ; 0.535;  8.57
Theia 980                ; 2019AJ....158..122K ;      ;  8.71
Theia 980                ; Theia II            ; 0.368;  8.53
Theia 981                ; 2019AJ....158..122K ;      ;  8.75
Theia 981                ; Theia II            ; 0.384;  8.74
Theia 991                ; 2019AJ....158..122K ;      ;  8.75
Theia 991                ; Theia II            ; 0.248;  8.47
Theia 993                ; 2019AJ....158..122K ;      ;  8.78
Theia 993                ; Theia II            ; 0.429;  8.38
Theia 996                ; 2019AJ....158..122K ;      ;  8.75
Theia 996                ; Theia II            ; 0.306;  8.60
Theia 997                ; 2019AJ....158..122K ;      ;  8.77
Theia 997                ; Theia II            ; 0.503;  8.47
Toepler 1                ; 2016DAML            ; 0.65 ;  7.85
Toepler 1                ; 2020A&A...640A...1C ; 0.603;  7.81
Toepler 1                ; Dias 2021           ; 0.715;  7.785
Toepler 1                ; Kharchenko+ 2013    ; 0.625;  8.655
Toepler 1                ; Tarricq 2021        ;      ;  8.04
Tombaugh 1               ; 2016DAML            ; 0.303;  8.98
Tombaugh 1               ; 2019 Bossini        ; 0.255;  8.991
Tombaugh 1               ; 2020A&A...640A...1C ; 0.206;  9.10
Tombaugh 1               ; Dias 2021           ; 0.293;  9.107
Tombaugh 1               ; Kharchenko+ 2013    ; 0.281;  9.065
Tombaugh 1               ; Tarricq 2021        ;      ;  9.14
Tombaugh 2               ; 2016DAML            ; 0.30 ;  9.01
Tombaugh 2               ; 2020A&A...640A...1C ; 0.259;  9.21
Tombaugh 2               ; Dias 2021           ; 0.287;  9.355
Tombaugh 2               ; Kharchenko+ 2013    ; 0.354;  9.010
Tombaugh 2               ; Tarricq 2021        ;      ;  9.21
Tombaugh 4               ; 2016DAML            ; 1.25 ;  8.7
Tombaugh 4               ; 2020A&A...640A...1C ; 0.841;  9.20
Tombaugh 4               ; Dias 2021           ; 1.083;  8.925
Tombaugh 4               ; Kharchenko+ 2013    ; 1.249;  8.640
Tombaugh 4               ; Tarricq 2021        ;      ;  9.17
Tombaugh 5               ; 2016DAML            ; 0.80 ;  8.30
Tombaugh 5               ; 2020A&A...640A...1C ; 0.647;  8.27
Tombaugh 5               ; Dias 2021           ; 0.778;  8.251
Tombaugh 5               ; Kharchenko+ 2013    ; 0.550;  8.846
Tombaugh 5               ; Tarricq 2021        ;      ;  8.33
Trapezium                ; 2016DAML            ; 0.05 ;  7.11
Trapezium FG             ; Dias 2021           ; 0.079;  6.778
Tri II                   ; BDCC                ; 0.08 ; 10.11
Trifid B                 ; BDCC                ;      ;  6.28
Trumpler 1               ; 2016DAML            ; 0.68 ;  7.30
Trumpler 1               ; 2019 Bossini        ; 1.576;  7.513
Trumpler 1               ; 2020A&A...640A...1C ; 0.509;  7.46
Trumpler 1               ; Dias 2021           ; 0.593;  7.340
Trumpler 1               ; Kharchenko+ 2013    ; 0.583;  7.100
Trumpler 10              ; 2016DAML            ; 0.034;  7.542
Trumpler 10              ; 2019 Bossini        ; 0.045;  7.740
Trumpler 10              ; 2020A&A...640A...1C ; 0.000;  7.51
Trumpler 10              ; Dias 2021           ; 0.063;  7.753
Trumpler 10              ; Kharchenko+ 2013    ; 0.029;  7.380
Trumpler 10              ; Tarricq 2021        ;      ;  7.52
Trumpler 11              ; 2016DAML            ; 0.21 ;
Trumpler 11              ; 2019 Bossini        ; 0.243;  7.325
Trumpler 11              ; 2020A&A...640A...1C ; 0.219;  7.44
Trumpler 11              ; Kharchenko+ 2013    ; 0.167;  8.155
Trumpler 11              ; Tarricq 2021        ;      ;  7.48
Trumpler 12              ; 2016DAML            ; 0.05 ;  8.81
Trumpler 12              ; 2019 Bossini        ; 0.183;  8.898
Trumpler 12              ; 2020A&A...640A...1C ; 0.153;  8.82
Trumpler 12              ; Dias 2021           ; 0.190;  8.922
Trumpler 12              ; Kharchenko+ 2013    ; 0.050;  9.205
Trumpler 12              ; Tarricq 2021        ;      ;  8.83
Trumpler 13              ; 2016DAML            ; 0.30 ;  8.50
Trumpler 13              ; 2020A&A...640A...1C ; 0.409;  8.26
Trumpler 13              ; Dias 2021           ; 0.481;  8.605
Trumpler 13              ; Kharchenko+ 2013    ; 0.375;  8.825
Trumpler 13              ; Tarricq 2021        ;      ;  8.35
Trumpler 14              ; 2016DAML            ; 0.36 ;  6.00
Trumpler 14              ; 2020A&A...640A...1C ; 0.313;  7.80
Trumpler 14              ; Dias 2021           ; 0.539;  6.726
Trumpler 14              ; Kharchenko+ 2013    ; 0.750;  6.000
Trumpler 14              ; Kuhn+ 2019          ;      ;  6.35
Trumpler 14              ; Tarricq 2021        ;      ;  7.80
Trumpler 15              ; 2016DAML            ; 0.434;  6.926
Trumpler 15              ; 2020A&A...640A...1C ; 0.469;  6.95
Trumpler 15              ; Dias 2021           ; 0.521;  6.814
Trumpler 15              ; Kharchenko+ 2013    ; 0.462;  7.080
Trumpler 15              ; Kuhn+ 2019          ;      ;  6.49
Trumpler 15              ; Tarricq 2021        ;      ;  6.98
Trumpler 16              ; 2016DAML            ; 0.36 ;  6.00
Trumpler 16              ; 2020A&A...640A...1C ; 0.363;  7.13
Trumpler 16              ; Dias 2021           ; 0.489;  6.678
Trumpler 16              ; Kharchenko+ 2013    ; 0.937;  6.500
Trumpler 16              ; Kuhn+ 2019          ;      ;  6.37
Trumpler 16              ; Tarricq 2021        ;      ;  7.14
Trumpler 17              ; 2016DAML            ; 0.605;  7.706
Trumpler 17              ; 2020A&A...640A...1C ; 0.575;  7.30
Trumpler 17              ; Dias 2021           ; 0.655;  7.392
Trumpler 17              ; Kharchenko+ 2013    ; 0.583;  7.775
Trumpler 17              ; Tarricq 2021        ;      ;  7.35
Trumpler 18              ; 2016DAML            ; 0.315;  7.194
Trumpler 18              ; 2019 Bossini        ; 0.293;  7.665
Trumpler 18              ; 2020A&A...640A...1C ; 0.238;  7.68
Trumpler 18              ; Dias 2021           ; 0.290;  7.932
Trumpler 18              ; Kharchenko+ 2013    ; 0.266;  7.690
Trumpler 19              ; 2016DAML            ; 0.08 ;  9.65
Trumpler 19              ; 2020A&A...640A...1C ; 0.116;  9.69
Trumpler 19              ; Dias 2021           ; 0.203;  9.616
Trumpler 19              ; Kharchenko+ 2013    ; 0.094;  9.650
Trumpler 19              ; Tarricq 2021        ;      ;  9.74
Trumpler 2               ; 2016DAML            ; 0.40 ;  7.95
Trumpler 2               ; 2019 Bossini        ; 0.308;  7.962
Trumpler 2               ; 2020A&A...640A...1C ; 0.269;  8.05
Trumpler 2               ; Dias 2021           ; 0.355;  8.376
Trumpler 2               ; Kharchenko+ 2013    ; 0.321;  7.925
Trumpler 2               ; Tarricq 2021        ;      ;  8.05
Trumpler 20              ; 2016DAML            ; 0.46 ;  9.11
Trumpler 20              ; 2020A&A...640A...1C ; 0.275;  9.27
Trumpler 20              ; Dias 2021           ; 0.460;  9.179
Trumpler 20              ; Kharchenko+ 2013    ; 0.312;  9.325
Trumpler 20              ; Tarricq 2021        ;      ;  9.27
Trumpler 21              ; 2016DAML            ; 0.197;  7.696
Trumpler 21              ; 2019 Bossini        ; 0.233;  7.690
Trumpler 21              ; 2020A&A...640A...1C ; 0.181;  7.69
Trumpler 21              ; Dias 2021           ; 0.274;  7.710
Trumpler 21              ; Kharchenko+ 2013    ; 0.250;  7.850
Trumpler 22              ; 2016DAML            ; 0.521;  7.950
Trumpler 22              ; 2019 Bossini        ; 1.592;  7.385
Trumpler 22              ; 2020A&A...640A...1C ; 0.556;  7.51
Trumpler 22              ; Dias 2021           ; 0.612;  7.810
Trumpler 22              ; Kharchenko+ 2013    ; 0.500;  8.495
Trumpler 22              ; Tarricq 2021        ;      ;  7.54
Trumpler 23              ; 2016DAML            ; 0.58 ;  8.95
Trumpler 23              ; 2020A&A...640A...1C ; 0.681;  8.85
Trumpler 23              ; Dias 2021           ; 0.880;  8.466
Trumpler 23              ; Kharchenko+ 2013    ; 0.604;  8.960
Trumpler 23              ; Tarricq 2021        ;      ;  8.90
