Intrinsically very bright and/or large and/or massive galaxies

NOTES
1 QSO's or any kind of active galaxy without a discernible/measured diameter are excluded
2 Constraints: d <= 2.5 GPc AND (MB < -20 OR Diam > 40 Kpc) AND must have a discernible body
3 Objets that are individually not bright and/or large enough to be included here, but are bright/large if you consider the summed contribution of close
  companions are excluded, (e.g. few compact clusters listed as one entry in the ESO catalog), but intrinsically bright/large objects that are part of
  multiple systems (that probably canibalized many smaller galaxies) are included
4 Caveats: Is cannot be considered complete given that there are probably many giant/luminous BGC (Brightest Galaxy in Clusters) and a few nonstellar
  QSO's that are not included here
5 Sometimes objects listed here are larger and brighter than listed values due, e.g. to the presence of faint extended halos, to non-homogeinity as to
  what surface brightness level those values were measured, etc

Check: 2019ApJS..243...14O - The Ogle et al. Galaxy Catalog (OGC) (Ogle+, 2019)

Galaxy                   ;Alias           ;Diam'  ;Mag   ;Band;Type                       ;RV Km/s ;Dist MPc;Diam KPc;MB    ;Cluster/Group      ;Notes
2MASX J10301576-0106068  ;                ;  0.24 ;18.3  ;g   ;giant Spiral, bar          ; 84617  ;1159.1  ;  80.9  ;-22.0 ;                   ;
ESO 349-3                ;                ;  1.0  ;14.7  ;B   ;R'SA(rs)cd                 ; 20104  ; 275.4  ;  80.1  ;-22.5 ;Abell S 1157       ;
CGCG 208-20              ;                ;  0.5  ;15.7  ;B   ;SBb                        ; 39693  ; 543.7  ;  79.1  ;-23.0 ;                   ;
VIII Zw 125              ;                ;  0.33 ;17.68 ;B   ;pair                       ; 60099  ; 823.3  ;  79.0  ;-21.9 ;                   ;
CGCG 122-67              ;                ;  0.74 ;15.5  ;B   ;giant Spiral               ; 26684  ; 365.5  ;  78.7  ;-22.3 ;MSPM 554 4         ;BCG, 2 bulges
NGC 1097                 ;                ; 13.5  ;10.0  ;B   ;(R'1)SB(r'l)b, LINER, Sy1  ;  1271  ;  19.6  ;  77.0  ;-21.5 ;Fornax cluster     ;
NGC 1961                 ;                ;  4.6  ;10.9  ;B   ;SAB(rs)c, LIRG, LINER      ;  3934  ;  53.9  ;  72.1  ;-22.8 ;                   ;
3C 218                   ;Hydra A         ;  1.05 ;13.9  ;B   ;(R')SAO-:, Sy3, LINER      ; 16542  ; 229.1  ;  70.0  ;-22.9 ;Abell 780          ;
UGC 4288                 ;                ;  0.58 ;17.0  ;B   ;SO                         ; 30208  ; 413.8  ;  69.8  ;-21.1 ;                   ;
2MASX J10233960+0411116  ;                ;  0.2  ;18.3  ;g   ;BrClG, AGN                 ; 87120  ;1193.4  ;  69.4  ;-22.1 ;ZwCl 1021.0+0426   ;
NGC 1132                 ;                ;  2.5  ;13.25 ;B   ;E                          ;  6935  ;  95.0  ;  69.1  ;-21.6 ;                   ;
NGC 5419                 ;                ;  4.2  ;11.9  ;B   ;E                          ;  4126  ;  56.5  ;  69.0  ;-21.9 ;Abell S 753        ;
NGC 6166                 ;3C 338          ;  1.9  ;12.78 ;B   ;cD2p ,E, NLRG, LEG         ;  9100  ; 124.7  ;  68.9  ;-22.7 ;Abell 2199         ;
NGC 6744                 ;                ; 25.0  ; 9.1  ;B   ;SAB(r)bc, LINER            ;   841  ;   9.1  ;  66.2  ;-20.7 ;NGC 6744 group     ;
NGC 474                  ;                ;  7.1  ;12.37 ;B   ;(R')SA(s)0o                ;  2325  ;  31.8  ;  65.7  ;-20.1 ;                   ;
Mrk 231                  ;                ;  1.3  ;14.41 ;B   ;SA(rs)c? p, LIRG, Sy1      ; 12642  ; 173.2  ;  65.5  ;-21.8 ;                   ;
UGC 545                  ;Mrk 1502        ;  0.9  ;14.4  ;B   ;Sa, Sy 1, Sbrst            ; 17658  ; 241.9  ;  63.3  ;-22.5 ;                   ;
2MASX J10405643-0103584  ;                ;  0.2  ;18.2  ;g   ;giant Spiral               ; 75039  ;1027.9  ;  59.8  ;-21.9 ;SDSS CE J160.2-01.1;
2MASX J1432+6317         ;                ;  0.35 ;15.0  ;z   ;S                          ; 37135  ; 547.7  ;  55.8  ;-22.8z;                   ;
NGC 4874                 ;                ;  1.9  ;13.1  ;B   ;cD0, Di                    ;  7176  ;  93.8  ;  51.8  ;-21.8 ;Abell 1656         ;
