Name                             PNstat         RAJ2000    DECJ2000      MajDiam   Catalogue           
IPHAS J224803.81+622704.9        PN??           22 48 03.8 +62 27 04.9             2009A&A...504..291V 
IRAS 08143-4406                  PAGB/PPN       08 16 03.0 -44 16 04.6             2001A&A...378..843K 
HH 290S                          PN??           05 47 05.2 +20 59 04.5             2009A&A...504..291V 
PHR J1322-6224                   circM          13 22 05.9 -62 24 04.1             2008ApJS..174..426K 
PN G007.8+00.5                   PN?            18 01 07.4 -21 56 04.9             MIRPNc              
PN G050.1+00.6                   PN??           19 21 09.4 +15 34 04.4             CornishCandidates   
THA 14-39                        Em*            18 50 09.0 -05 15 04.1             1992secg.book.....A 
IPHAS J052510.03+415504.2        PN??           05 25 10.0 +41 55 04.2             2009A&A...504..291V 
IPHASX J232109.9+600604          unk            23 21 10.0 +60 06 04.5             IPHAS_candidates    
Hen 3-1013                       transObj       14 37 10.1 -64 48 04.7             2001A&A...378..843K 
IPHAS J051811.80+370204.5        PN??           05 18 11.8 +37 02 04.5             2009A&A...504..291V 
IPHAS J012211.16+615304.7        PN??           01 22 11.2 +61 53 04.7             2009A&A...504..291V 
[SHK2000] 18456-0129             notPN?         18 48 11.5 -01 26 04.1             2009A&A...501..539U 
IPHAS J211312.43+513104.5        PN??           21 13 12.4 +51 31 04.5             2009A&A...504..291V 
PN G111.8-02.1                   notPN?         23 24 15.9 +58 53 04.3             IPHAS_candidates    
PHR J1533-4724                   Gx?            15 33 16.3 -47 24 04.3             MEN_List            
IPHAS J190917.63+051704.1        PN??           19 09 17.6 +05 17 04.1             2009A&A...504..291V 
IRAS 15310-6149                  notPN?         15 35 17.1 -61 59 04.1             1993A&A...274..895V 
PN G037.4-00.1                   PN??           19 00 18.9 +03 54 04.8             2015arXiv150708182F 
PN G278.2-37.2                   Gx?            04 43 18.4 -66 52 04.9             ivan                
PN G039.0-00.2                   notPN?         19 03 20.3 +05 20 04.9             MIRPNc              
PN G001.4-00.6                   PN??           17 51 21.1 -28 02 04.5             2015arXiv150708182F 
J12                              PN             00 50 21.1 -72 27 04.1             1980ApJS...42....1J 
RPZM 23                          PN?            17 33 22.6 -35 11 04.2             1992secg.book.....A 
WKK98 138                        PN??           10 56 22.0 -68 42 04.0             2001A&A...380..441W 
2MASS J2016+3737                 notPN?         20 16 23.2 +37 37 04.6             2009A&A...502..113V 
